adresse,nature,niveau,hauteur_sol_mm,largeur_mm,profondeur_mm,hauteur_libre_mm,volume_m3,distance_quai_m
A1A04B08,pick,1,1333,169,1067,1219,0.2199,9.76
A1A04B09,pick,1,1333,169,1067,1219,0.2199,9.76
A1A04B10,pick,1,1333,169,1067,1219,0.2199,9.76
A1A04CG,over,2,2552,1246,1067,1219,1.6200,12.81
A1A04CD,over,2,2552,1246,1067,1219,1.6200,12.81
A1A04DG,over,3,3771,1246,1067,1106,1.4698,15.86
A1A04DD,over,3,3771,1246,1067,1106,1.4698,15.86
A1A05A01,pick,0,0,1246,1067,1333,1.7715,9.23
A1A05A02,pick,0,0,1246,1067,1333,1.7715,9.23
A1A05B01,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B02,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B03,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B04,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B05,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B06,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B07,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B08,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B09,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05B10,pick,1,1333,169,1067,1219,0.2199,12.56
A1A05CG,over,2,2552,1246,1067,1219,1.6200,15.61
A1A05CD,over,2,2552,1246,1067,1219,1.6200,15.61
A1A05DG,over,3,3771,1246,1067,1106,1.4698,18.66
A1A05DD,over,3,3771,1246,1067,1106,1.4698,18.66
A1A06A01,pick,0,0,1246,1067,1333,1.7715,12.03
A1A06A02,pick,0,0,1246,1067,1333,1.7715,12.03
A1A06B01,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B02,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B03,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B04,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B05,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B06,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B07,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B08,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B09,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06B10,pick,1,1333,169,1067,1219,0.2199,15.36
A1A06CG,over,2,2552,1246,1067,1219,1.6200,18.41
A1A06CD,over,2,2552,1246,1067,1219,1.6200,18.41
A1A06DG,over,3,3771,1246,1067,1106,1.4698,21.46
A1A06DD,over,3,3771,1246,1067,1106,1.4698,21.46
A1A07A01,pick,0,0,1246,1067,1333,1.7715,14.83
A1A07A02,pick,0,0,1246,1067,1333,1.7715,14.83
A1A07B01,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B02,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B03,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B04,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B05,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B06,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B07,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B08,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B09,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07B10,pick,1,1333,169,1067,1219,0.2199,18.16
A1A07CG,over,2,2552,1246,1067,1219,1.6200,21.21
A1A07CD,over,2,2552,1246,1067,1219,1.6200,21.21
A1A07DG,over,3,3771,1246,1067,1106,1.4698,24.26
A1A07DD,over,3,3771,1246,1067,1106,1.4698,24.26
A1A08A01,pick,0,0,1246,1067,1333,1.7715,17.63
A1A08A02,pick,0,0,1246,1067,1333,1.7715,17.63
A1A08B01,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B02,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B03,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B04,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B05,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B06,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B07,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B08,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B09,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08B10,pick,1,1333,169,1067,1219,0.2199,20.96
A1A08CG,over,2,2552,1246,1067,1219,1.6200,24.01
A1A08CD,over,2,2552,1246,1067,1219,1.6200,24.01
A1A08DG,over,3,3771,1246,1067,1106,1.4698,27.06
A1A08DD,over,3,3771,1246,1067,1106,1.4698,27.06
A1A09A01,pick,0,0,1246,1067,1333,1.7715,20.43
A1A09A02,pick,0,0,1246,1067,1333,1.7715,20.43
A1A09B01,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B02,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B03,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B04,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B05,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B06,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B07,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B08,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B09,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09B10,pick,1,1333,169,1067,1219,0.2199,23.76
A1A09CG,over,2,2552,1246,1067,1219,1.6200,26.81
A1A09CD,over,2,2552,1246,1067,1219,1.6200,26.81
A1A09DG,over,3,3771,1246,1067,1106,1.4698,29.86
A1A09DD,over,3,3771,1246,1067,1106,1.4698,29.86
A1A10A01,pick,0,0,1246,1067,1333,1.7715,23.23
A1A10A02,pick,0,0,1246,1067,1333,1.7715,23.23
A1A10B01,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B02,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B03,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B04,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B05,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B06,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B07,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B08,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B09,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10B10,pick,1,1333,169,1067,1219,0.2199,26.56
A1A10CG,over,2,2552,1246,1067,1219,1.6200,29.61
A1A10CD,over,2,2552,1246,1067,1219,1.6200,29.61
A1A10DG,over,3,3771,1246,1067,1106,1.4698,32.66
A1A10DD,over,3,3771,1246,1067,1106,1.4698,32.66
A1B01A01,pick,0,0,1246,1067,1333,1.7715,14.04
A1B01A02,pick,0,0,1246,1067,1333,1.7715,14.04
A1B01B01,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B02,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B03,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B04,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B05,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B06,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B07,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B08,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B09,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01B10,pick,1,1333,169,1067,1219,0.2199,17.37
A1B01CG,over,2,2552,1246,1067,1219,1.6200,20.42
A1B01CD,over,2,2552,1246,1067,1219,1.6200,20.42
A1B01DG,over,3,3771,1246,1067,1106,1.4698,23.47
A1B01DD,over,3,3771,1246,1067,1106,1.4698,23.47
A1B02A01,pick,0,0,1246,1067,1333,1.7715,11.24
A1B02A02,pick,0,0,1246,1067,1333,1.7715,11.24
A1B02B01,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B02,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B03,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B04,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B05,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B06,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B07,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B08,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B09,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02B10,pick,1,1333,169,1067,1219,0.2199,14.57
A1B02CG,over,2,2552,1246,1067,1219,1.6200,17.62
A1B02CD,over,2,2552,1246,1067,1219,1.6200,17.62
A1B02DG,over,3,3771,1246,1067,1106,1.4698,20.67
A1B02DD,over,3,3771,1246,1067,1106,1.4698,20.67
A1B03A01,pick,0,0,1246,1067,1333,1.7715,8.44
A1B03A02,pick,0,0,1246,1067,1333,1.7715,8.44
A1B03B01,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B02,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B03,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B04,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B05,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B06,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B07,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B08,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B09,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03B10,pick,1,1333,169,1067,1219,0.2199,11.77
A1B03CG,over,2,2552,1246,1067,1219,1.6200,14.82
A1B03CD,over,2,2552,1246,1067,1219,1.6200,14.82
A1B03DG,over,3,3771,1246,1067,1106,1.4698,17.87
A1B03DD,over,3,3771,1246,1067,1106,1.4698,17.87
A1B04A01,pick,0,0,1246,1067,1333,1.7715,11.23
A1B04A02,pick,0,0,1246,1067,1333,1.7715,11.23
A1B04B01,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B02,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B03,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B04,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B05,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B06,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B07,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B08,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B09,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04B10,pick,1,1333,169,1067,1219,0.2199,14.56
A1B04CG,over,2,2552,1246,1067,1219,1.6200,17.61
A1B04CD,over,2,2552,1246,1067,1219,1.6200,17.61
A1B04DG,over,3,3771,1246,1067,1106,1.4698,20.66
A1B04DD,over,3,3771,1246,1067,1106,1.4698,20.66
A1B05A01,pick,0,0,1246,1067,1333,1.7715,14.03
A1B05A02,pick,0,0,1246,1067,1333,1.7715,14.03
A1B05B01,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B02,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B03,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B04,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B05,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B06,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B07,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B08,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B09,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05B10,pick,1,1333,169,1067,1219,0.2199,17.36
A1B05CG,over,2,2552,1246,1067,1219,1.6200,20.41
A1B05CD,over,2,2552,1246,1067,1219,1.6200,20.41
A1B05DG,over,3,3771,1246,1067,1106,1.4698,23.46
A1B05DD,over,3,3771,1246,1067,1106,1.4698,23.46
A1B06A01,pick,0,0,1246,1067,1333,1.7715,16.83
A1B06A02,pick,0,0,1246,1067,1333,1.7715,16.83
A1B06B01,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B02,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B03,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B04,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B05,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B06,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B07,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B08,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B09,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06B10,pick,1,1333,169,1067,1219,0.2199,20.16
A1B06CG,over,2,2552,1246,1067,1219,1.6200,23.21
A1B06CD,over,2,2552,1246,1067,1219,1.6200,23.21
A1B06DG,over,3,3771,1246,1067,1106,1.4698,26.26
A1B06DD,over,3,3771,1246,1067,1106,1.4698,26.26
A1B07A01,pick,0,0,1246,1067,1333,1.7715,19.63
A1B07A02,pick,0,0,1246,1067,1333,1.7715,19.63
A1B07B01,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B02,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B03,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B04,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B05,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B06,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B07,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B08,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B09,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07B10,pick,1,1333,169,1067,1219,0.2199,22.96
A1B07CG,over,2,2552,1246,1067,1219,1.6200,26.01
A1B07CD,over,2,2552,1246,1067,1219,1.6200,26.01
A1B07DG,over,3,3771,1246,1067,1106,1.4698,29.06
A1B07DD,over,3,3771,1246,1067,1106,1.4698,29.06
A1B08A01,pick,0,0,1246,1067,1333,1.7715,22.43
A1B08A02,pick,0,0,1246,1067,1333,1.7715,22.43
A1B08B01,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B02,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B03,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B04,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B05,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B06,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B07,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B08,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B09,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08B10,pick,1,1333,169,1067,1219,0.2199,25.76
A1B08CG,over,2,2552,1246,1067,1219,1.6200,28.81
A1B08CD,over,2,2552,1246,1067,1219,1.6200,28.81
A1B08DG,over,3,3771,1246,1067,1106,1.4698,31.86
A1B08DD,over,3,3771,1246,1067,1106,1.4698,31.86
A1B09A01,pick,0,0,1246,1067,1333,1.7715,25.23
A1B09A02,pick,0,0,1246,1067,1333,1.7715,25.23
A1B09B01,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B02,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B03,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B04,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B05,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B06,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B07,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B08,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B09,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09B10,pick,1,1333,169,1067,1219,0.2199,28.56
A1B09CG,over,2,2552,1246,1067,1219,1.6200,31.61
A1B09CD,over,2,2552,1246,1067,1219,1.6200,31.61
A1B09DG,over,3,3771,1246,1067,1106,1.4698,34.66
A1B09DD,over,3,3771,1246,1067,1106,1.4698,34.66
A1B10A01,pick,0,0,1246,1067,1333,1.7715,28.03
A1B10A02,pick,0,0,1246,1067,1333,1.7715,28.03
A1B10B01,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B02,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B03,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B04,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B05,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B06,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B07,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B08,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B09,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10B10,pick,1,1333,169,1067,1219,0.2199,31.36
A1B10CG,over,2,2552,1246,1067,1219,1.6200,34.41
A1B10CD,over,2,2552,1246,1067,1219,1.6200,34.41
A1B10DG,over,3,3771,1246,1067,1106,1.4698,37.46
A1B10DD,over,3,3771,1246,1067,1106,1.4698,37.46
A1C01A01,pick,0,0,1779,1067,1371,2.6024,19.30
A1C01A02,pick,0,0,1779,1067,1371,2.6024,19.30
A1C01B01,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B02,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B03,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B04,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B05,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B06,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B07,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B08,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B09,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01B10,pick,1,1371,276,1067,1219,0.3587,22.73
A1C01CG,over,2,2590,1153,1067,1219,1.4992,25.78
A1C01CC,over,2,2590,1153,1067,1219,1.4992,25.78
A1C01CD,over,2,2590,1153,1067,1219,1.4992,25.78
A1C01DG,over,3,3809,1153,1067,1219,1.4992,28.83
A1C01DC,over,3,3809,1153,1067,1219,1.4992,28.83
A1C01DD,over,3,3809,1153,1067,1219,1.4992,28.83
A1C01EG,over,4,5028,1153,1067,1068,1.3135,31.87
A1C01EC,over,4,5028,1153,1067,1068,1.3135,31.87
A1C01ED,over,4,5028,1153,1067,1068,1.3135,31.87
A1C02A01,pick,0,0,1779,1067,1371,2.6024,15.40
A1C02A02,pick,0,0,1779,1067,1371,2.6024,15.40
A1C02B01,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B02,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B03,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B04,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B05,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B06,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B07,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B08,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B09,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02B10,pick,1,1371,276,1067,1219,0.3587,18.83
A1C02CG,over,2,2590,1153,1067,1219,1.4992,21.88
A1C02CC,over,2,2590,1153,1067,1219,1.4992,21.88
A1C02CD,over,2,2590,1153,1067,1219,1.4992,21.88
A1C02DG,over,3,3809,1153,1067,1219,1.4992,24.93
A1C02DC,over,3,3809,1153,1067,1219,1.4992,24.93
A1C02DD,over,3,3809,1153,1067,1219,1.4992,24.93
A1C02EG,over,4,5028,1153,1067,1068,1.3135,27.97
A1C02EC,over,4,5028,1153,1067,1068,1.3135,27.97
A1C02ED,over,4,5028,1153,1067,1068,1.3135,27.97
A1C03A01,pick,0,0,1779,1067,1371,2.6024,16.96
A1C03A02,pick,0,0,1779,1067,1371,2.6024,16.96
A1C03B01,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B02,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B03,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B04,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B05,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B06,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B07,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B08,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B09,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03B10,pick,1,1371,276,1067,1219,0.3587,20.39
A1C03CG,over,2,2590,1153,1067,1219,1.4992,23.44
A1C03CC,over,2,2590,1153,1067,1219,1.4992,23.44
A1C03CD,over,2,2590,1153,1067,1219,1.4992,23.44
A1C03DG,over,3,3809,1153,1067,1219,1.4992,26.49
A1C03DC,over,3,3809,1153,1067,1219,1.4992,26.49
A1C03DD,over,3,3809,1153,1067,1219,1.4992,26.49
A1C03EG,over,4,5028,1153,1067,1068,1.3135,29.53
A1C03EC,over,4,5028,1153,1067,1068,1.3135,29.53
A1C03ED,over,4,5028,1153,1067,1068,1.3135,29.53
A1C04A01,pick,0,0,1779,1067,1371,2.6024,20.86
A1C04A02,pick,0,0,1779,1067,1371,2.6024,20.86
A1C04B01,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B02,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B03,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B04,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B05,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B06,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B07,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B08,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B09,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04B10,pick,1,1371,276,1067,1219,0.3587,24.29
A1C04CG,over,2,2590,1153,1067,1219,1.4992,27.34
A1C04CC,over,2,2590,1153,1067,1219,1.4992,27.34
A1C04CD,over,2,2590,1153,1067,1219,1.4992,27.34
A1C04DG,over,3,3809,1153,1067,1219,1.4992,30.39
A1C04DC,over,3,3809,1153,1067,1219,1.4992,30.39
A1C04DD,over,3,3809,1153,1067,1219,1.4992,30.39
A1C04EG,over,4,5028,1153,1067,1068,1.3135,33.43
A1C04EC,over,4,5028,1153,1067,1068,1.3135,33.43
A1C04ED,over,4,5028,1153,1067,1068,1.3135,33.43
A1C05A01,pick,0,0,1779,1067,1371,2.6024,19.44
A1C05A02,pick,0,0,1779,1067,1371,2.6024,19.44
A1C05B01,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B02,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B03,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B04,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B05,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B06,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B07,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B08,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B09,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05B10,pick,1,1371,276,1067,1219,0.3587,22.87
A1C05CG,over,2,2590,1153,1067,1219,1.4992,25.91
A1C05CC,over,2,2590,1153,1067,1219,1.4992,25.91
A1C05CD,over,2,2590,1153,1067,1219,1.4992,25.91
A1C05DG,over,3,3809,1153,1067,1219,1.4992,28.96
A1C05DC,over,3,3809,1153,1067,1219,1.4992,28.96
A1C05DD,over,3,3809,1153,1067,1219,1.4992,28.96
A1C05EG,over,4,5028,1153,1067,1068,1.3135,32.01
A1C05EC,over,4,5028,1153,1067,1068,1.3135,32.01
A1C05ED,over,4,5028,1153,1067,1068,1.3135,32.01
A1C06A01,pick,0,0,1779,1067,1371,2.6024,20.40
A1C06A02,pick,0,0,1779,1067,1371,2.6024,20.40
A1C06B01,pick,1,1371,276,1067,1219,0.3587,23.82
A1C06B02,pick,1,1371,276,1067,1219,0.3587,23.82
A1C06B03,pick,1,1371,276,1067,1219,0.3587,23.82
A1C06B04,pick,1,1371,276,1067,1219,0.3587,23.82
A1C06B05,pick,1,1371,276,1067,1219,0.3587,23.82
A1C06B06,pick,1,1371,276,1067,1219,0.3587,23.82
