numero_commande,date_commande,client,montant_total_commande,sku_produit,produit_designation,quantite,prix_unitaire_cad,sous_total_ligne_cad
CMD-0000008,2023-09-03,Garage du Centre,3539.93,AIR-12056,Filtre à huile (Purflux),10,26.78,267.8
CMD-0000008,2023-09-03,Garage du Centre,3539.93,STR-04358,Rotule de direction (Monroe),2,279.9,559.8
CMD-0000009,2023-03-27,Carrosserie Moderne,5057.91,CAB-28963,Filtre à air (Mann-Filter),11,61.65,678.15
CMD-0000009,2023-03-27,Carrosserie Moderne,5057.91,STR-12115,Sonde Lambda amont (Denso),10,330.83,3308.3
CMD-0000009,2023-03-27,Carrosserie Moderne,5057.91,BRK-18711,Flexible de frein (Bosch),7,71.42,499.94
CMD-0000009,2023-03-27,Carrosserie Moderne,5057.91,AIR-48217,Filtre carburant diesel (Purflux),5,9.84,49.2
CMD-0000009,2023-03-27,Carrosserie Moderne,5057.91,ARM-36337,Bras oscillant inférieur (Monroe),8,65.29,522.32
CMD-0000010,2023-02-07,Auto-Réparation ABC,3322.04,ROT-25349,Disque ventilé (Brembo),11,207.3,2280.3
CMD-0000010,2023-02-07,Auto-Réparation ABC,3322.04,FLT-45209,Filtre à huile (Bosch),4,24.68,98.72
CMD-0000010,2023-02-07,Auto-Réparation ABC,3322.04,CAB-08677,Filtre à air (Wix),2,50.81,101.62
CMD-0000010,2023-02-07,Auto-Réparation ABC,3322.04,ALT-33745,Capteur vilebrequin (Delphi),5,168.28,841.4
CMD-0000011,2023-11-29,Auto Clinic,10900.86,SUS-20799,Amortisseur bitube (KYB),8,243.35,1946.8
CMD-0000011,2023-11-29,Auto Clinic,10900.86,SUS-27109,Ressort hélicoïdal (KYB),11,65.86,724.46
CMD-0000011,2023-11-29,Auto Clinic,10900.86,ARM-39091,Bras oscillant inférieur (Moog),9,233.49,2101.41
CMD-0000011,2023-11-29,Auto Clinic,10900.86,BRK-03960,Étrier reconditionné (Bosch),2,152.18,304.36
CMD-0000011,2023-11-29,Auto Clinic,10900.86,STR-01648,Bobine d'allumage (Delphi),7,207.71,1453.97
CMD-0000011,2023-11-29,Auto Clinic,10900.86,ALT-46420,Démarreur 1.8kW (Delphi),11,397.26,4369.86
CMD-0000012,2023-06-15,Moteurs & Cie,684.43,ROT-09941,Plaquettes AV (TRW),11,53.33,586.63
CMD-0000012,2023-06-15,Moteurs & Cie,684.43,CAB-46220,Filtre à huile (Mann-Filter),4,24.45,97.8
CMD-0000013,2023-02-14,Services Automobiles Express,1930.5,RAD-18397,Kit distribution + pompe (Nissens),6,321.75,1930.5
CMD-0000014,2023-02-02,Centre Auto Plus,2094.65,FLT-24730,Filtre carburant diesel (Mann-Filter),9,40.69,366.21
CMD-0000014,2023-02-02,Centre Auto Plus,2094.65,BRK-05811,Flexible de frein (Ferodo),9,67.04,603.36
CMD-0000014,2023-02-02,Centre Auto Plus,2094.65,BRK-25626,Plaquettes AR (Textar),6,178.27,1069.62
CMD-0000014,2023-02-02,Centre Auto Plus,2094.65,FLT-20095,Filtre habitacle charbon (Mann-Filter),2,27.73,55.46
CMD-0000015,2023-10-30,Carrosserie Moderne,907.85,AIR-03330,Filtre carburant diesel (Purflux),2,35.33,70.66
CMD-0000015,2023-10-30,Carrosserie Moderne,907.85,WAT-20212,Kit distribution + pompe (Gates),1,324.48,324.48
CMD-0000015,2023-10-30,Carrosserie Moderne,907.85,FLT-25769,Filtre habitacle charbon (Purflux),11,46.61,512.71
CMD-0000016,2023-10-02,Auto-Réparation ABC,592.71,CAL-10309,Plaquettes AR (Textar),3,169.61,508.83
CMD-0000016,2023-10-02,Auto-Réparation ABC,592.71,AIR-02439,Filtre habitacle charbon (Mann-Filter),3,27.96,83.88
CMD-0000017,2023-03-24,Carrosserie Moderne,5963.41,FLT-06119,Filtre habitacle charbon (Wix),11,35.36,388.96
CMD-0000017,2023-03-24,Carrosserie Moderne,5963.41,BEL-19206,Kit distribution + pompe (Gates),5,92.92,464.6
CMD-0000017,2023-03-24,Carrosserie Moderne,5963.41,CAL-39190,Flexible de frein (Ferodo),12,231.46,2777.52
CMD-0000017,2023-03-24,Carrosserie Moderne,5963.41,STR-30408,Démarreur 1.8kW (Bosch),7,333.19,2332.33
CMD-0000018,2023-01-19,Centre Auto Plus,405.84,SUS-07305,Rotule de direction (KYB),4,101.46,405.84
CMD-0000019,2023-09-25,Atelier Mécanique 360,2688.7,SUS-08129,Rotule de direction (KYB),10,246.57,2465.7
CMD-0000019,2023-09-25,Atelier Mécanique 360,2688.7,BEL-21693,Radiateur alu (Valeo),5,44.6,223.0
CMD-0000020,2023-07-10,Garage Tremblay,5875.0,SUS-41277,Amortisseur bitube (Monroe),3,100.2,300.6
CMD-0000020,2023-07-10,Garage Tremblay,5875.0,ARM-26734,Rotule de direction (KYB),6,317.43,1904.58
CMD-0000020,2023-07-10,Garage Tremblay,5875.0,ROT-29640,Disque ventilé (Ferodo),4,77.56,310.24
CMD-0000020,2023-07-10,Garage Tremblay,5875.0,ALT-21944,Alternateur 140A (Valeo),3,180.54,541.62
CMD-0000020,2023-07-10,Garage Tremblay,5875.0,RAD-35143,Radiateur alu (Continental),4,25.73,102.92
CMD-0000020,2023-07-10,Garage Tremblay,5875.0,STR-29397,Bobine d'allumage (Valeo),8,339.38,2715.04
CMD-0000021,2023-11-19,Pneus & Mécanique Pro,3066.08,STR-48542,Ressort hélicoïdal (Bilstein),8,297.34,2378.72
CMD-0000021,2023-11-19,Pneus & Mécanique Pro,3066.08,ROT-46877,Plaquettes AV (Textar),3,229.12,687.36
CMD-0000022,2023-08-20,Services Automobiles Express,915.9,ROT-01926,Flexible de frein (Ferodo),6,63.17,379.02
CMD-0000022,2023-08-20,Services Automobiles Express,915.9,SEN-44634,Sonde Lambda amont (Denso),8,67.11,536.88
CMD-0000023,2023-11-13,Garage Tremblay,3032.77,ROT-11097,Plaquettes AR (Brembo),5,35.18,175.9
CMD-0000023,2023-11-13,Garage Tremblay,3032.77,ARM-26734,Rotule de direction (KYB),9,317.43,2856.87
CMD-0000024,2023-10-07,Services Automobiles Express,6620.68,FLT-08305,Filtre à huile (Purflux),9,38.62,347.58
CMD-0000024,2023-10-07,Services Automobiles Express,6620.68,FLT-09648,Filtre à air (Purflux),6,35.87,215.22
CMD-0000024,2023-10-07,Services Automobiles Express,6620.68,SEN-02539,Sonde Lambda amont (NGK),8,534.33,4274.64
CMD-0000024,2023-10-07,Services Automobiles Express,6620.68,RAD-08319,Thermostat piloté (Gates),4,190.9,763.6
CMD-0000024,2023-10-07,Services Automobiles Express,6620.68,SEN-09213,Bobine d'allumage (NGK),3,339.88,1019.64
CMD-0000025,2023-10-05,Carrosserie Moderne,3967.19,WAT-14283,Kit distribution + pompe (Gates),5,37.86,189.3
CMD-0000025,2023-10-05,Carrosserie Moderne,3967.19,BRK-31452,Plaquettes AR (TRW),5,220.6,1103.0
CMD-0000025,2023-10-05,Carrosserie Moderne,3967.19,SUS-47611,Ressort hélicoïdal (Moog),1,250.53,250.53
CMD-0000025,2023-10-05,Carrosserie Moderne,3967.19,RAD-23117,Thermostat piloté (Continental),4,381.29,1525.16
CMD-0000025,2023-10-05,Carrosserie Moderne,3967.19,STR-35021,Capteur vilebrequin (Denso),7,67.09,469.63
CMD-0000025,2023-10-05,Carrosserie Moderne,3967.19,FLT-12765,Filtre à huile (Purflux),9,47.73,429.57
CMD-0000026,2023-11-01,Pièces Auto Dépôt,513.02,STR-48599,Ressort hélicoïdal (Sachs),4,73.68,294.72
CMD-0000026,2023-11-01,Pièces Auto Dépôt,513.02,RAD-15930,Radiateur alu (Gates),1,41.06,41.06
CMD-0000026,2023-11-01,Pièces Auto Dépôt,513.02,BEL-26506,Courroie accessoire (Valeo),6,29.54,177.24
CMD-0000027,2023-09-05,Pièces Auto Dépôt,2987.54,CAL-06124,Étrier reconditionné (TRW),1,251.08,251.08
CMD-0000027,2023-09-05,Pièces Auto Dépôt,2987.54,ARM-45049,Bras oscillant inférieur (Bilstein),5,181.12,905.6
CMD-0000027,2023-09-05,Pièces Auto Dépôt,2987.54,SUS-20329,Rotule de direction (Bilstein),2,297.75,595.5
CMD-0000027,2023-09-05,Pièces Auto Dépôt,2987.54,BRK-15995,Flexible de frein (TRW),7,176.48,1235.36
CMD-0000028,2023-09-03,Garage du Centre,7189.42,STR-03439,Amortisseur bitube (Monroe),12,39.1,469.2
CMD-0000028,2023-09-03,Garage du Centre,7189.42,STR-01648,Bobine d'allumage (Delphi),2,207.71,415.42
CMD-0000028,2023-09-03,Garage du Centre,7189.42,ALT-36862,Bobine d'allumage (Bosch),2,304.14,608.28
CMD-0000028,2023-09-03,Garage du Centre,7189.42,AIR-47742,Filtre à huile (Mahle),11,58.05,638.55
CMD-0000028,2023-09-03,Garage du Centre,7189.42,SUS-36442,Rotule de direction (Monroe),10,216.06,2160.6
CMD-0000028,2023-09-03,Garage du Centre,7189.42,WAT-44958,Courroie accessoire (Continental),9,321.93,2897.37
CMD-0000029,2023-10-19,Garage Tremblay,5207.41,BRK-42213,Étrier reconditionné (Brembo),12,117.4,1408.8
CMD-0000029,2023-10-19,Garage Tremblay,5207.41,RAD-09676,Thermostat piloté (Nissens),5,107.67,538.35
CMD-0000029,2023-10-19,Garage Tremblay,5207.41,CAL-26310,Disque ventilé (TRW),7,246.21,1723.47
CMD-0000029,2023-10-19,Garage Tremblay,5207.41,BRK-20889,Plaquettes AV (Brembo),7,176.97,1238.79
CMD-0000029,2023-10-19,Garage Tremblay,5207.41,ALT-12092,Sonde Lambda amont (Delphi),2,149.0,298.0
CMD-0000030,2023-09-13,Carrosserie Moderne,6227.03,RAD-02740,Courroie accessoire (Valeo),4,176.95,707.8
CMD-0000030,2023-09-13,Carrosserie Moderne,6227.03,WAT-34829,Radiateur alu (Gates),5,375.33,1876.65
CMD-0000030,2023-09-13,Carrosserie Moderne,6227.03,SEN-37356,Démarreur 1.8kW (Bosch),3,106.4,319.2
CMD-0000030,2023-09-13,Carrosserie Moderne,6227.03,ROT-12128,Étrier reconditionné (Ferodo),9,164.38,1479.42
CMD-0000030,2023-09-13,Carrosserie Moderne,6227.03,ARM-24564,Rotule de direction (Bilstein),7,253.07,1771.49
CMD-0000030,2023-09-13,Carrosserie Moderne,6227.03,BRK-01806,Plaquettes AR (Textar),1,72.47,72.47
CMD-0000031,2023-05-17,Mécanique Rapide Inc.,3172.86,STR-15344,Sonde Lambda amont (NGK),9,352.54,3172.86
CMD-0000032,2023-01-29,Pièces Auto Dépôt,2416.09,ROT-11097,Plaquettes AR (Brembo),7,35.18,246.26
CMD-0000032,2023-01-29,Pièces Auto Dépôt,2416.09,AIR-13707,Filtre à huile (Bosch),1,23.2,23.2
CMD-0000032,2023-01-29,Pièces Auto Dépôt,2416.09,SEN-27997,Sonde Lambda amont (Valeo),6,337.11,2022.66
CMD-0000032,2023-01-29,Pièces Auto Dépôt,2416.09,CAB-15420,Filtre à huile (Wix),11,11.27,123.97
CMD-0000033,2023-12-30,Pneus & Mécanique Pro,8733.95,BEL-18752,Kit distribution + pompe (Continental),12,362.79,4353.48
CMD-0000033,2023-12-30,Pneus & Mécanique Pro,8733.95,ALT-42023,Démarreur 1.8kW (NGK),3,94.36,283.08
CMD-0000033,2023-12-30,Pneus & Mécanique Pro,8733.95,SUS-34088,Rotule de direction (Monroe),6,260.07,1560.42
CMD-0000033,2023-12-30,Pneus & Mécanique Pro,8733.95,BRK-40406,Disque ventilé (Bosch),5,210.88,1054.4
CMD-0000033,2023-12-30,Pneus & Mécanique Pro,8733.95,ARM-19908,Rotule de direction (Monroe),9,164.73,1482.57
CMD-0000034,2023-01-25,Moteurs & Cie,7857.31,AIR-48495,Filtre à huile (Bosch),12,55.56,666.72
CMD-0000034,2023-01-25,Moteurs & Cie,7857.31,ROT-10051,Plaquettes AV (TRW),12,218.08,2616.96
CMD-0000034,2023-01-25,Moteurs & Cie,7857.31,ALT-12221,Sonde Lambda amont (Denso),8,349.85,2798.8
CMD-0000034,2023-01-25,Moteurs & Cie,7857.31,WAT-32139,Radiateur alu (Gates),9,136.37,1227.33
CMD-0000034,2023-01-25,Moteurs & Cie,7857.31,CAB-31643,Filtre à air (Wix),10,54.75,547.5
CMD-0000035,2023-12-23,Pièces Auto Dépôt,4222.01,STR-19732,Sonde Lambda amont (Delphi),2,231.13,462.26
CMD-0000035,2023-12-23,Pièces Auto Dépôt,4222.01,ALT-12632,Capteur vilebrequin (Valeo),2,360.7,721.4
CMD-0000035,2023-12-23,Pièces Auto Dépôt,4222.01,CAB-03585,Filtre à huile (Bosch),9,38.6,347.4
CMD-0000035,2023-12-23,Pièces Auto Dépôt,4222.01,BRK-10522,Plaquettes AV (Bosch),11,217.09,2387.99
CMD-0000035,2023-12-23,Pièces Auto Dépôt,4222.01,FLT-02989,Filtre à air (Mann-Filter),7,43.28,302.96
CMD-0000036,2023-06-29,Garage Tremblay,4090.2,ROT-11097,Plaquettes AR (Brembo),11,35.18,386.98
CMD-0000036,2023-06-29,Garage Tremblay,4090.2,SEN-06089,Démarreur 1.8kW (NGK),9,145.35,1308.15
CMD-0000036,2023-06-29,Garage Tremblay,4090.2,CAL-31773,Plaquettes AV (Bosch),12,170.83,2049.96
CMD-0000036,2023-06-29,Garage Tremblay,4090.2,ALT-38479,Capteur vilebrequin (Delphi),1,315.57,315.57
CMD-0000036,2023-06-29,Garage Tremblay,4090.2,CAB-05498,Filtre habitacle charbon (Purflux),1,29.54,29.54
CMD-0000037,2023-10-08,Auto-Réparation ABC,6712.1,ALT-42700,Alternateur 140A (Delphi),10,268.27,2682.7
CMD-0000037,2023-10-08,Auto-Réparation ABC,6712.1,ARM-30515,Rotule de direction (KYB),8,205.72,1645.76
CMD-0000037,2023-10-08,Auto-Réparation ABC,6712.1,BEL-47898,Kit distribution + pompe (Gates),5,388.63,1943.15
CMD-0000037,2023-10-08,Auto-Réparation ABC,6712.1,STR-04640,Sonde Lambda amont (Delphi),1,208.38,208.38
CMD-0000037,2023-10-08,Auto-Réparation ABC,6712.1,FLT-06032,Filtre à huile (Mann-Filter),9,25.79,232.11
CMD-0000038,2023-02-13,Atelier Mécanique 360,3325.1,ALT-19376,Capteur vilebrequin (Bosch),4,181.81,727.24
CMD-0000038,2023-02-13,Atelier Mécanique 360,3325.1,SUS-37946,Ressort hélicoïdal (Monroe),10,178.22,1782.2
CMD-0000038,2023-02-13,Atelier Mécanique 360,3325.1,SUS-45274,Amortisseur bitube (KYB),3,257.9,773.7
CMD-0000038,2023-02-13,Atelier Mécanique 360,3325.1,CAB-06913,Filtre habitacle charbon (Mann-Filter),1,41.96,41.96
CMD-0000039,2023-03-22,Moteurs & Cie,2464.97,SUS-05993,Rotule de direction (Moog),11,167.6,1843.6
CMD-0000039,2023-03-22,Moteurs & Cie,2464.97,FLT-02095,Filtre à air (Mahle),7,47.04,329.28
CMD-0000039,2023-03-22,Moteurs & Cie,2464.97,RAD-14694,Kit distribution + pompe (Continental),2,52.82,105.64
CMD-0000039,2023-03-22,Moteurs & Cie,2464.97,AIR-34148,Filtre habitacle charbon (Wix),5,37.29,186.45
CMD-0000040,2023-12-03,Garage Royal,2290.51,WAT-45625,Thermostat piloté (Gates),3,69.71,209.13
CMD-0000040,2023-12-03,Garage Royal,2290.51,AIR-17184,Filtre carburant diesel (Mann-Filter),7,8.02,56.14
CMD-0000040,2023-12-03,Garage Royal,2290.51,STR-02193,Démarreur 1.8kW (NGK),4,506.31,2025.24
CMD-0000041,2023-09-26,Garage Les Experts,908.78,BRK-13229,Plaquettes AR (Bosch),3,208.95,626.85
CMD-0000041,2023-09-26,Garage Les Experts,908.78,ARM-23760,Amortisseur bitube (Moog),4,60.32,241.28
CMD-0000041,2023-09-26,Garage Les Experts,908.78,AIR-16687,Filtre carburant diesel (Mahle),3,13.55,40.65
CMD-0000042,2023-11-12,Mécanique Rapide Inc.,233.37,CAB-43997,Filtre à huile (Bosch),2,9.41,18.82
CMD-0000042,2023-11-12,Mécanique Rapide Inc.,233.37,FLT-30422,Filtre à huile (Mann-Filter),7,30.65,214.55
CMD-0000043,2023-04-24,Pièces Auto Dépôt,6038.6,CAL-14489,Flexible de frein (Brembo),2,28.68,57.36
CMD-0000043,2023-04-24,Pièces Auto Dépôt,6038.6,STR-13804,Sonde Lambda amont (Valeo),12,344.44,4133.28
CMD-0000043,2023-04-24,Pièces Auto Dépôt,6038.6,STR-35352,Ressort hélicoïdal (Moog),6,188.09,1128.54
CMD-0000043,2023-04-24,Pièces Auto Dépôt,6038.6,CAB-21818,Filtre habitacle charbon (Bosch),8,49.96,399.68
CMD-0000043,2023-04-24,Pièces Auto Dépôt,6038.6,SUS-04367,Bras oscillant inférieur (Bilstein),1,319.74,319.74
CMD-0000044,2023-03-29,Moteurs & Cie,6445.27,ARM-26734,Rotule de direction (KYB),10,317.43,3174.3
CMD-0000044,2023-03-29,Moteurs & Cie,6445.27,SUS-41277,Amortisseur bitube (Monroe),10,100.2,1002.0
CMD-0000044,2023-03-29,Moteurs & Cie,6445.27,RAD-35143,Radiateur alu (Continental),11,25.73,283.03
CMD-0000044,2023-03-29,Moteurs & Cie,6445.27,ALT-21944,Alternateur 140A (Valeo),11,180.54,1985.94
CMD-0000045,2023-08-31,Garage du Centre,1544.58,CAB-49148,Filtre carburant diesel (Mahle),9,57.38,516.42
CMD-0000045,2023-08-31,Garage du Centre,1544.58,CAB-45548,Filtre à huile (Wix),4,30.0,120.0
CMD-0000045,2023-08-31,Garage du Centre,1544.58,BRK-27236,Disque ventilé (Textar),12,75.68,908.16
CMD-0000046,2023-12-17,Mécanique Rapide Inc.,5969.68,SEN-44084,Démarreur 1.8kW (NGK),2,346.93,693.86
CMD-0000046,2023-12-17,Mécanique Rapide Inc.,5969.68,BEL-32906,Courroie accessoire (Nissens),2,246.88,493.76
CMD-0000046,2023-12-17,Mécanique Rapide Inc.,5969.68,BEL-23155,Thermostat piloté (Nissens),8,383.73,3069.84
CMD-0000046,2023-12-17,Mécanique Rapide Inc.,5969.68,CAB-19673,Filtre à huile (Mahle),4,37.48,149.92
CMD-0000046,2023-12-17,Mécanique Rapide Inc.,5969.68,BRK-27183,Disque ventilé (Bosch),6,194.13,1164.78
CMD-0000046,2023-12-17,Mécanique Rapide Inc.,5969.68,ALT-16619,Bobine d'allumage (Denso),2,198.76,397.52
CMD-0000047,2023-08-02,Garage du Centre,2787.7,RAD-23198,Radiateur alu (Gates),7,21.85,152.95
CMD-0000047,2023-08-02,Garage du Centre,2787.7,ARM-26767,Ressort hélicoïdal (Monroe),6,72.43,434.58
CMD-0000047,2023-08-02,Garage du Centre,2787.7,SEN-11426,Bobine d'allumage (Valeo),8,166.26,1330.08
CMD-0000047,2023-08-02,Garage du Centre,2787.7,SUS-33322,Bras oscillant inférieur (Bilstein),1,312.74,312.74
CMD-0000047,2023-08-02,Garage du Centre,2787.7,RAD-24765,Thermostat piloté (SKF),5,111.47,557.35
CMD-0000048,2023-12-09,Auto Clinic,1280.85,SUS-33194,Amortisseur bitube (KYB),9,34.55,310.95
CMD-0000048,2023-12-09,Auto Clinic,1280.85,BEL-38889,Courroie accessoire (SKF),1,77.1,77.1
CMD-0000048,2023-12-09,Auto Clinic,1280.85,SUS-40920,Ressort hélicoïdal (Monroe),9,99.2,892.8
CMD-0000049,2023-04-19,Garage Les Experts,6574.7,ALT-46536,Bobine d'allumage (Valeo),5,531.22,2656.1
CMD-0000049,2023-04-19,Garage Les Experts,6574.7,WAT-43397,Courroie accessoire (Gates),9,228.93,2060.37
CMD-0000049,2023-04-19,Garage Les Experts,6574.7,BRK-18975,Plaquettes AR (Brembo),11,168.93,1858.23
CMD-0000050,2023-09-27,Garage du Centre,8348.2,BEL-41870,Thermostat piloté (Nissens),9,143.7,1293.3
CMD-0000050,2023-09-27,Garage du Centre,8348.2,SUS-09875,Amortisseur bitube (Monroe),11,229.36,2522.96
CMD-0000050,2023-09-27,Garage du Centre,8348.2,BRK-01716,Disque ventilé (Bosch),11,195.53,2150.83
CMD-0000050,2023-09-27,Garage du Centre,8348.2,ARM-07694,Rotule de direction (Moog),5,254.18,1270.9
CMD-0000050,2023-09-27,Garage du Centre,8348.2,ROT-21700,Disque ventilé (Brembo),9,28.75,258.75
CMD-0000050,2023-09-27,Garage du Centre,8348.2,ARM-42989,Amortisseur bitube (Monroe),6,141.91,851.46
CMD-0000051,2023-12-07,Services Automobiles Express,4318.33,CAB-10639,Filtre à air (Wix),4,16.89,67.56
CMD-0000051,2023-12-07,Services Automobiles Express,4318.33,SEN-44385,Capteur vilebrequin (Valeo),3,169.11,507.33
CMD-0000051,2023-12-07,Services Automobiles Express,4318.33,ALT-20522,Capteur vilebrequin (Bosch),5,129.05,645.25
CMD-0000051,2023-12-07,Services Automobiles Express,4318.33,RAD-00336,Kit distribution + pompe (Continental),9,268.41,2415.69
CMD-0000051,2023-12-07,Services Automobiles Express,4318.33,SEN-13922,Sonde Lambda amont (Valeo),3,227.5,682.5
CMD-0000052,2023-06-29,Auto-Réparation ABC,3640.76,BRK-08235,Plaquettes AV (TRW),11,117.45,1291.95
CMD-0000052,2023-06-29,Auto-Réparation ABC,3640.76,ROT-03354,Plaquettes AR (TRW),11,68.03,748.33
CMD-0000052,2023-06-29,Auto-Réparation ABC,3640.76,AIR-35730,Filtre à air (Wix),4,4.93,19.72
CMD-0000052,2023-06-29,Auto-Réparation ABC,3640.76,STR-41278,Alternateur 140A (Denso),9,175.64,1580.76
CMD-0000053,2023-06-09,Garage Tremblay,8753.31,BEL-44516,Kit distribution + pompe (Nissens),11,292.51,3217.61
CMD-0000053,2023-06-09,Garage Tremblay,8753.31,CAB-29850,Filtre habitacle charbon (Mahle),3,20.65,61.95
CMD-0000053,2023-06-09,Garage Tremblay,8753.31,STR-39064,Bras oscillant inférieur (Moog),12,270.18,3242.16
CMD-0000053,2023-06-09,Garage Tremblay,8753.31,CAL-31062,Disque ventilé (Bosch),7,217.65,1523.55
CMD-0000053,2023-06-09,Garage Tremblay,8753.31,AIR-37921,Filtre habitacle charbon (Mahle),10,62.12,621.2
CMD-0000053,2023-06-09,Garage Tremblay,8753.31,FLT-16144,Filtre à air (Bosch),4,21.71,86.84
CMD-0000054,2023-07-11,Garage du Centre,1043.39,WAT-40639,Radiateur alu (Continental),1,273.72,273.72
CMD-0000054,2023-07-11,Garage du Centre,1043.39,AIR-37314,Filtre à air (Mahle),11,32.17,353.87
CMD-0000054,2023-07-11,Garage du Centre,1043.39,FLT-40582,Filtre habitacle charbon (Wix),10,41.58,415.8
CMD-0000055,2023-05-15,Auto-Réparation ABC,599.7,ROT-28746,Plaquettes AV (Brembo),5,119.94,599.7
CMD-0000056,2023-04-20,Pneus & Mécanique Pro,2983.09,STR-01648,Bobine d'allumage (Delphi),5,207.71,1038.55
CMD-0000056,2023-04-20,Pneus & Mécanique Pro,2983.09,SUS-36442,Rotule de direction (Monroe),9,216.06,1944.54
CMD-0000057,2023-10-23,Pneus & Mécanique Pro,136.15,FLT-31037,Filtre à huile (Wix),5,27.23,136.15
CMD-0000058,2023-06-17,Pièces Auto Dépôt,421.98,AIR-34733,Filtre à huile (Mahle),4,61.72,246.88
CMD-0000058,2023-06-17,Pièces Auto Dépôt,421.98,SUS-05414,Ressort hélicoïdal (Sachs),5,35.02,175.1
CMD-0000059,2023-07-21,Garage Les Experts,9785.62,RAD-11161,Kit distribution + pompe (Valeo),11,276.08,3036.88
CMD-0000059,2023-07-21,Garage Les Experts,9785.62,CAB-37197,Filtre carburant diesel (Bosch),6,9.28,55.68
CMD-0000059,2023-07-21,Garage Les Experts,9785.62,SEN-26054,Démarreur 1.8kW (Bosch),7,360.57,2523.99
CMD-0000059,2023-07-21,Garage Les Experts,9785.62,ALT-05559,Alternateur 140A (Valeo),9,463.23,4169.07
CMD-0000060,2023-05-23,Carrosserie Moderne,10789.37,SUS-38862,Ressort hélicoïdal (Moog),9,329.8,2968.2
CMD-0000060,2023-05-23,Carrosserie Moderne,10789.37,SEN-17825,Démarreur 1.8kW (NGK),11,229.25,2521.75
CMD-0000060,2023-05-23,Carrosserie Moderne,10789.37,ROT-21380,Plaquettes AV (Bosch),5,184.34,921.7
CMD-0000060,2023-05-23,Carrosserie Moderne,10789.37,WAT-22980,Kit distribution + pompe (Nissens),12,326.57,3918.84
CMD-0000060,2023-05-23,Carrosserie Moderne,10789.37,BRK-24362,Plaquettes AV (Brembo),12,38.24,458.88
CMD-0000061,2023-10-24,Moteurs & Cie,1363.31,BEL-02729,Kit distribution + pompe (Gates),4,100.87,403.48
