code_barre_128,sku,classe_produit,designation,emplacement_id,prix_achat_cad,prix_importation_cad,prix_transport_cad,cout_de_revient_total,longueur_cm,largeur_cm,hauteur_cm,poids_kg,classe_abc
C1285574573732,FUS-000013,FUS - Petite Piece A2,Boîte fusibles relais,A2-C19-T06-D,6.10,0.25,2.73,9.08,5.6,4.5,3.0,0.12,C
C1281525085282,SEN-000014,SEN - Petite Piece A2,Capteur ABS,A2-C08-T13-D,28.64,1.38,4.65,34.67,8.7,5.6,4.8,0.35,C
C1289107889088,ALT-000015,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-25-a-05,157.61,7.72,24.59,189.92,27.8,22.2,19.6,8.11,B
C1289497883772,ROT-000016,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-10-b-07,86.00,3.35,19.35,108.70,27.1,35.6,5.7,6.82,A
C1283702810304,ALT-000017,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-09-a-06,137.11,5.64,21.36,164.11,26.1,23.8,18.1,7.21,C
C1284247757737,SPK-000018,SPK - Petite Piece A2,Bougie allumage iridium,A2-C05-T05-E,8.35,0.53,3.86,12.74,12.6,2.5,2.3,0.13,B
C1281976721904,SPK-000019,SPK - Petite Piece A2,Bougie allumage iridium,A2-C05-T13-B,12.83,0.80,4.30,17.93,13.9,2.5,2.4,0.1,C
C1288614543575,ALT-000020,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-18-a-10,208.06,8.02,23.00,239.08,20.0,20.9,20.3,6.35,C
C1284903690219,STR-000021,STR - Grande Piece A3 A1p,Jambe de force suspension,A1p-10-06-H1,134.39,6.71,16.45,157.55,60.4,17.7,24.6,4.73,A
C1288276326886,FUS-000022,FUS - Petite Piece A2,Boîte fusibles relais,A2-C05-T09-F,5.05,0.30,2.87,8.22,5.8,8.0,2.7,0.18,C
C1287994443484,BLB-000023,BLB - Petite Piece A2,Ampoule LED H7,A2-C11-T09-H,16.65,0.77,2.72,20.14,9.1,4.7,4.0,0.06,C
C1283556625822,EXH-000024,EXH - Grande Piece A3 A1p,Silencieux échappement,A1p-08-08-H2,150.00,9.26,26.71,185.97,101.3,42.4,24.8,9.92,B
C1285230861970,EXH-000025,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L10-H1-S16,211.51,10.38,32.70,254.59,107.5,44.4,25.4,11.05,B
C1285168770113,ROT-000026,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-01-b-11,37.23,1.81,19.22,58.26,34.0,29.5,4.1,7.59,A
C1286573518161,ROT-000027,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-15-c-02,65.96,3.36,26.42,95.74,28.5,33.2,6.9,11.33,A
C1287393998445,FLT-000028,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-11-a-04,16.73,0.83,3.13,20.69,26.9,19.4,6.7,0.28,B
C1287669175570,FLT-000029,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-17-a-07,9.04,0.47,3.68,13.19,27.2,22.7,5.4,0.4,A
C1281249869968,FUS-000030,FUS - Petite Piece A2,Boîte fusibles relais,A2-C08-T08-D,8.23,0.31,2.22,10.76,5.2,4.6,4.0,0.1,C
C1282295863178,FLT-000031,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-27-b-05,10.77,0.63,2.31,13.71,30.3,14.8,5.9,0.34,C
C1286097975785,ALT-000032,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-16-c-01,155.94,5.83,20.58,182.35,21.9,23.4,22.4,6.61,B
C1285873027511,FLT-000033,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-27-a-03,17.00,0.82,4.58,22.40,27.9,16.6,4.1,0.57,B
C1283379299867,BRK-000034,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-31-b-04,39.91,1.59,6.46,47.96,19.9,17.0,6.3,2.07,C
C1282160493130,ALT-000035,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-21-c-10,226.69,10.05,24.93,261.67,28.3,19.1,18.9,7.78,C
C1283716380396,EXH-000036,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L12-H2-S07,126.79,6.70,35.86,169.35,105.1,32.0,21.0,16.0,A
C1283468169192,FLT-000037,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-30-a-10,8.13,0.35,3.57,12.05,35.2,15.3,4.7,0.24,A
C1285368608053,ROT-000038,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-04-b-11,53.72,3.24,20.11,77.07,32.6,30.5,6.8,8.88,C
C1287163012745,FLT-000039,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-40-c-04,9.02,0.46,4.52,14.00,20.1,17.7,4.3,0.46,C
C1281200971475,ALT-000040,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-37-b-07,230.88,14.56,22.18,267.62,29.3,24.8,19.3,5.62,C
C1281306225168,FLT-000041,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-05-b-09,15.75,0.56,2.87,19.18,30.0,19.8,6.4,0.54,B
C1286518718050,ROT-000042,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-05-b-02,70.85,3.78,27.11,101.74,28.9,35.2,6.6,11.06,C
C1281717006366,SPK-000043,SPK - Petite Piece A2,Bougie allumage iridium,A2-C11-T15-C,12.18,0.73,3.06,15.97,10.7,3.0,2.7,0.09,A
C1283353953625,ALT-000044,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-22-b-10,128.61,5.26,24.32,158.19,20.9,23.2,21.7,8.69,C
C1283098330989,BLB-000045,BLB - Petite Piece A2,Ampoule LED H7,A2-C07-T02-D,21.69,0.97,2.38,25.04,7.6,5.7,4.6,0.07,B
C1287490574578,RAD-000046,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A1p-05-02-H3,150.87,7.98,14.69,173.54,69.1,47.7,10.7,3.68,A
C1286953416466,ALT-000047,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-40-a-01,214.83,9.59,21.62,246.04,22.0,20.4,22.4,6.27,B
C1286995493265,ALT-000048,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-09-c-07,140.35,6.25,20.97,167.57,26.6,22.1,19.9,7.19,B
C1286993563089,STR-000049,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L22-H4-S11,154.39,5.78,25.48,185.65,69.5,18.7,24.1,9.39,B
C1288727972137,ROT-000050,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-17-a-02,91.04,5.83,27.80,124.67,35.5,27.9,5.6,11.37,C
C1288630721824,SPK-000051,SPK - Petite Piece A2,Bougie allumage iridium,A2-C20-T15-B,6.59,0.25,2.37,9.21,10.6,2.4,3.7,0.14,C
C1286282459101,BRK-000052,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-27-a-03,25.43,1.60,8.06,35.09,18.4,10.4,8.3,2.54,B
C1283640399111,ROT-000053,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-17-a-04,49.34,2.74,24.14,76.22,27.4,26.1,6.2,9.99,A
C1284962096620,BRK-000054,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-02-b-08,49.96,2.30,9.45,61.71,21.7,18.0,6.4,2.78,C
C1286510233590,BRK-000055,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-07-c-12,32.06,1.95,8.83,42.84,20.0,11.7,8.6,2.9,A
C1282052798762,BMP-000056,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L06-H1-S09,281.93,10.45,30.71,323.09,187.2,64.3,53.8,8.88,C
C1286764933619,BLB-000057,BLB - Petite Piece A2,Ampoule LED H7,A2-C10-T12-D,12.29,0.52,2.55,15.36,8.0,4.2,5.1,0.08,B
C1289270523120,SPK-000058,SPK - Petite Piece A2,Bougie allumage iridium,A2-C19-T13-F,13.33,0.50,2.22,16.05,10.9,3.9,3.2,0.13,C
C1284886882383,SEN-000059,SEN - Petite Piece A2,Capteur ABS,A2-C16-T10-F,32.23,1.71,3.60,37.54,13.3,7.3,5.2,0.21,C
C1288750493629,ROT-000060,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-12-b-03,59.85,2.72,16.57,79.14,33.3,31.8,6.7,6.34,B
C1283614977019,ROT-000061,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-06-a-10,56.69,2.77,20.98,80.44,31.2,35.5,5.9,8.21,C
C1284749453242,BRK-000062,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-05-a-02,26.33,1.43,9.19,36.95,19.9,14.7,8.1,3.65,C
C1289931499508,SPK-000063,SPK - Petite Piece A2,Bougie allumage iridium,A2-C20-T11-G,6.73,0.28,1.54,8.55,14.0,2.2,2.6,0.11,C
C1286971178959,RAD-000064,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A1p-09-03-H3,190.09,7.46,22.13,219.68,63.2,61.7,9.9,6.5,B
C1285432890827,STR-000065,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L19-H3-S14,134.74,7.35,15.81,157.90,82.8,17.7,24.8,4.62,C
C1284208083985,EXH-000066,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L23-H2-S12,124.67,5.19,30.41,160.27,136.7,40.3,24.3,12.34,B
C1287281163974,BRK-000067,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-03-c-03,44.80,2.01,9.08,55.89,17.8,12.2,5.1,1.96,B
C1289810502758,BRK-000068,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-01-c-03,62.46,3.16,9.93,75.55,18.4,17.6,7.9,3.13,C
C1285122829276,EXH-000069,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L03-H1-S14,134.19,6.59,33.18,173.96,138.9,36.8,28.1,13.73,C
C1285591034342,BLB-000070,BLB - Petite Piece A2,Ampoule LED H7,A2-C12-T12-G,15.10,0.72,2.55,18.37,8.2,4.2,5.9,0.08,C
C1284632115895,EXH-000071,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L19-H2-S05,225.47,12.89,42.80,281.16,127.6,43.5,18.9,16.97,C
C1289318940580,FUS-000072,FUS - Petite Piece A2,Boîte fusibles relais,A2-C17-T12-H,9.76,0.63,3.58,13.97,10.0,4.5,3.8,0.18,C
C1283059504952,BMP-000073,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A1p-08-12-H1,153.19,8.48,23.48,185.15,182.8,58.0,44.9,7.31,B
C1281455682988,BRK-000074,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-29-a-10,29.59,1.66,8.49,39.74,22.7,17.2,5.8,3.31,B
C1285889897905,RAD-000075,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L17-H1-S15,101.04,4.86,13.63,119.53,80.5,58.9,7.2,3.76,C
C1281389055320,EXH-000076,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L10-H4-S09,149.76,6.50,37.64,193.90,81.1,44.4,24.5,15.76,C
C1287061870215,FLT-000077,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-17-c-04,18.52,1.17,4.04,23.73,24.4,16.3,6.3,0.28,B
C1288153741931,BRK-000078,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-19-c-07,53.77,3.48,6.97,64.22,19.0,13.9,9.9,1.98,C
C1285473962085,BLB-000079,BLB - Petite Piece A2,Ampoule LED H7,A2-C08-T14-G,17.79,0.81,2.64,21.24,9.0,5.6,4.3,0.1,C
C1287474516183,BRK-000080,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-19-c-11,63.36,3.94,9.23,76.53,19.1,14.8,9.6,1.54,C
C1287023275903,SEN-000081,SEN - Petite Piece A2,Capteur ABS,A2-C10-T14-E,42.91,2.63,3.70,49.24,12.3,5.2,4.0,0.37,C
C1287134640527,ALT-000082,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-19-b-11,242.99,10.45,23.39,276.83,24.6,22.4,23.4,6.78,B
C1285530748000,BRK-000083,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-35-a-07,38.71,1.64,6.64,46.99,17.6,15.4,9.9,2.1,B
C1287248748916,BRK-000084,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-18-b-05,56.58,1.98,10.98,69.54,24.5,11.9,8.9,3.38,C
C1281905412784,FLT-000085,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-36-a-06,6.12,0.40,3.00,9.52,20.4,15.5,7.2,0.39,C
C1284985788770,FLT-000086,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-36-b-03,21.42,0.86,3.74,26.02,32.7,24.3,7.2,0.23,C
C1288910410301,BRK-000087,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-20-a-04,58.15,2.34,7.69,68.18,16.0,14.1,9.5,1.96,C
C1288427067425,ALT-000088,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-39-c-08,176.19,9.84,21.83,207.86,24.6,19.0,20.1,6.82,B
C1287527306965,SPK-000089,SPK - Petite Piece A2,Bougie allumage iridium,A2-C12-T01-D,5.77,0.29,1.57,7.63,10.5,2.4,3.2,0.11,B
C1282745327723,EXH-000090,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L09-H1-S05,218.99,13.48,42.96,275.43,113.6,26.8,24.1,16.91,B
C1287187093763,FLT-000091,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-25-c-02,6.02,0.24,2.34,8.60,20.4,20.6,7.5,0.43,C
C1286476153969,ALT-000092,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-29-c-04,174.32,9.01,24.48,207.81,27.0,18.6,23.3,7.36,C
C1285013703906,ALT-000093,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-02-b-08,184.63,10.56,21.26,216.45,24.3,21.5,19.8,5.69,B
C1282942781321,SPK-000094,SPK - Petite Piece A2,Bougie allumage iridium,A2-C10-T01-D,11.95,0.63,3.98,16.56,12.9,3.6,2.3,0.13,C
C1287224015358,FLT-000095,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-21-c-07,20.94,0.93,4.37,26.24,30.8,16.6,6.1,0.5,C
C1285883769713,ROT-000096,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-08-b-01,44.54,1.63,15.06,61.23,33.4,26.6,4.3,6.39,C
C1288201422486,SPK-000097,SPK - Petite Piece A2,Bougie allumage iridium,A2-C07-T01-F,5.69,0.31,3.86,9.86,13.3,2.2,2.8,0.09,C
C1284646414790,ALT-000098,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-02-c-06,164.89,5.86,21.61,192.36,22.8,20.6,23.4,5.98,B
C1287466410673,SPK-000099,SPK - Petite Piece A2,Bougie allumage iridium,A2-C09-T09-E,8.14,0.51,3.17,11.82,12.6,3.2,3.8,0.12,A
C1284966477012,FLT-000100,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-22-b-04,12.99,0.82,5.38,19.19,21.3,24.0,7.6,0.57,C
C1285735128942,EXH-000101,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L01-H1-S05,204.62,10.80,41.28,256.70,103.3,29.8,19.4,16.56,C
C1282405174861,FLT-000102,FLT - Moyenne Standard A1,Filtre à air moteur,A1a-22-b-11,9.88,0.46,4.06,14.40,21.4,23.2,4.6,0.22,A
C1281236312362,STR-000103,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L21-H4-S08,130.98,6.95,19.50,157.43,61.3,16.3,15.7,6.46,C
C1289359017077,ALT-000104,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-16-b-11,245.68,9.76,28.89,284.33,20.0,21.3,23.9,8.62,C
C1284165073835,FUS-000105,FUS - Petite Piece A2,Boîte fusibles relais,A2-C04-T11-B,4.47,0.23,1.64,6.34,8.4,4.8,2.6,0.09,A
C1282550212594,FLT-000106,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-16-a-01,15.41,0.67,4.80,20.88,33.4,18.5,4.1,0.28,C
C1282148167823,BLB-000107,BLB - Petite Piece A2,Ampoule LED H7,A2-C18-T01-A,14.34,0.52,2.22,17.08,9.2,5.5,5.6,0.07,B
C1287013738950,STR-000108,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L03-H5-S03,126.23,4.86,18.80,149.89,74.7,20.8,16.8,6.77,C
C1286570091630,ROT-000109,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-21-b-07,102.50,5.85,29.35,137.70,30.9,26.6,6.2,13.04,C
C1282545345691,ROT-000110,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-17-c-02,88.94,3.42,24.20,116.56,29.9,33.9,4.3,10.08,A
C1288182842013,RAD-000111,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L16-H1-S03,96.70,6.01,18.76,121.47,50.5,61.3,7.6,6.31,C
C1284503449141,SEN-000112,SEN - Petite Piece A2,Capteur ABS,A2-C19-T02-A,29.32,1.64,3.11,34.07,9.4,5.7,6.0,0.37,B
C1283825953767,FUS-000113,FUS - Petite Piece A2,Boîte fusibles relais,A2-C05-T14-C,4.41,0.21,3.92,8.54,5.2,3.1,2.5,0.05,B
C1285269374144,SPK-000114,SPK - Petite Piece A2,Bougie allumage iridium,A2-C12-T06-D,13.42,0.68,2.81,16.91,10.3,2.9,2.0,0.12,B
C1287926904398,ROT-000115,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-07-c-03,37.35,1.98,25.83,65.16,34.5,26.1,4.7,12.47,C
C1284826901435,BRK-000116,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-20-b-08,55.74,2.18,9.89,67.81,22.7,16.5,5.7,2.79,A
C1289975073002,BLB-000117,BLB - Petite Piece A2,Ampoule LED H7,A2-C18-T13-B,21.40,1.05,3.46,25.91,7.4,4.5,5.1,0.06,B
C1289106073557,SPK-000118,SPK - Petite Piece A2,Bougie allumage iridium,A2-C01-T02-E,9.45,0.49,4.22,14.16,10.8,3.6,2.9,0.13,B
C1282655417341,ALT-000119,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-36-a-06,215.85,11.54,22.05,249.44,29.5,24.9,20.6,6.07,C
C1281266335432,FUS-000120,FUS - Petite Piece A2,Boîte fusibles relais,A2-C12-T04-H,4.20,0.26,3.63,8.09,11.5,7.6,4.9,0.09,C
C1281312308243,ALT-000121,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-27-a-08,258.87,15.80,28.49,303.16,26.7,20.3,21.4,8.68,B
C1287442013034,BRK-000122,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-26-c-08,61.66,3.08,9.65,74.39,18.0,16.4,6.2,3.1,A
C1284054750166,BRK-000123,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-19-b-06,36.79,1.96,8.52,47.27,17.5,14.0,8.6,2.85,C
C1281907455257,SPK-000124,SPK - Petite Piece A2,Bougie allumage iridium,A2-C15-T12-G,10.92,0.57,4.36,15.85,11.3,2.3,3.1,0.09,C
C1285881780254,EXH-000125,EXH - Grande Piece A3 A1p,Silencieux échappement,A1p-09-17-H1,137.81,5.17,36.73,179.71,99.4,37.9,23.1,15.58,C
C1286339184722,BRK-000126,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-14-c-06,49.52,2.79,12.75,65.06,22.6,10.0,9.3,3.79,B
C1288027441871,BRK-000127,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-28-c-08,41.58,2.46,10.11,54.15,21.5,15.9,7.7,2.94,C
C1287870844523,STR-000128,STR - Grande Piece A3 A1p,Jambe de force suspension,A1p-08-16-H1,141.86,8.40,19.67,169.93,74.8,23.5,18.8,6.7,A
C1288686856571,STR-000129,STR - Grande Piece A3 A1p,Jambe de force suspension,A1p-08-03-H3,111.93,6.45,23.93,142.31,56.8,23.0,17.2,8.86,B
C1289353393854,BRK-000130,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-35-a-11,50.56,2.36,10.16,63.08,22.0,10.4,8.1,3.16,A
C1283888659455,FUS-000131,FUS - Petite Piece A2,Boîte fusibles relais,A2-C20-T13-G,6.99,0.31,3.47,10.77,7.0,6.1,2.1,0.2,B
C1283397439040,ALT-000132,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-22-a-01,210.63,12.95,20.10,243.68,24.0,22.4,22.0,5.72,B
C1286796998305,FLT-000133,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-18-c-09,14.37,0.61,5.03,20.01,31.0,18.5,5.2,0.5,C
C1282105370076,ROT-000134,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-02-a-06,62.59,3.46,17.81,83.86,34.3,33.8,6.6,7.54,C
C1286023382559,ALT-000135,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-20-c-08,145.22,8.41,23.99,177.62,24.5,20.2,23.8,7.75,C
C1283381481622,ROT-000136,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-28-c-02,77.29,4.20,24.12,105.61,34.6,34.9,5.6,9.32,A
C1288612376432,ALT-000137,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1c-18-a-07,179.48,9.90,20.75,210.13,24.9,21.5,19.5,6.54,C
C1288899560391,BRK-000138,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1b-40-a-06,57.30,3.70,11.18,72.18,19.5,11.3,8.6,2.86,B
C1281763144468,FLT-000139,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-33-c-08,17.70,0.97,4.09,22.76,20.8,16.9,7.7,0.45,A
C1289282099616,BRK-000140,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-38-c-02,54.69,3.07,10.04,67.80,16.6,15.9,9.6,2.81,C
C1283491498020,FUS-000141,FUS - Petite Piece A2,Boîte fusibles relais,A2-C11-T02-G,9.90,0.44,2.31,12.65,5.4,4.0,3.7,0.06,B
C1284672165963,BRK-000142,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1c-23-b-06,52.54,3.31,10.33,66.18,25.0,11.9,9.9,2.71,B
C1289186407334,EXH-000143,EXH - Grande Piece A3 A1p,Silencieux échappement,A3-L06-H2-S10,105.31,5.10,35.28,145.69,137.9,36.6,28.2,15.75,B
C1284425369543,ALT-000144,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1b-35-a-11,263.16,14.81,26.65,304.62,26.8,19.6,24.2,7.36,C
C1283135670543,SPK-000145,SPK - Petite Piece A2,Bougie allumage iridium,A2-C16-T07-B,10.87,0.51,2.93,14.31,11.6,2.8,2.1,0.08,A
C1289659758411,ROT-000146,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-28-b-03,97.17,5.98,17.11,120.26,32.3,34.7,6.9,6.44,B
C1288627348184,ROT-000147,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-04-c-08,41.50,2.04,15.17,58.71,26.9,31.0,5.5,6.15,A
C1284204245122,BRK-000148,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-39-c-10,42.79,1.66,7.12,51.57,19.4,10.3,8.7,2.38,A
C1287279330546,SEN-000149,SEN - Petite Piece A2,Capteur ABS,A2-C19-T08-H,31.22,2.00,4.38,37.60,14.3,6.9,3.6,0.2,C
C1283909697700,ALT-000150,ALT - Moyenne Standard A1,Alternateur 12V 140A,A1a-02-b-10,122.29,5.17,19.27,146.73,29.7,19.1,22.1,5.87,A
C1287052628235,FUS-000151,FUS - Petite Piece A2,Boîte fusibles relais,A2-C18-T11-B,5.43,0.33,3.51,9.27,11.9,5.4,4.6,0.09,B
C1284951826376,BMP-000152,BMP - Grande Piece A3 A1p,Pare-chocs AV primaire,A3-L19-H3-S11,225.26,10.10,33.44,268.80,189.7,49.8,45.3,11.86,B
C1284885831037,ROT-000153,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-01-b-08,83.56,4.27,23.16,110.99,32.4,28.3,5.1,9.89,C
C1288365355611,ROT-000154,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-01-a-12,87.88,5.69,18.13,111.70,34.5,27.1,5.7,6.11,C
C1285807892308,ROT-000155,ROT - Moyenne Standard A1,Disque de frein ventilé,A1b-23-a-09,101.15,6.43,25.01,132.59,27.1,29.4,4.2,10.69,A
C1287349140861,ROT-000156,ROT - Moyenne Standard A1,Disque de frein ventilé,A1a-33-a-08,55.78,3.24,19.14,78.16,27.0,26.4,6.7,7.8,B
C1281256945516,RAD-000157,RAD - Grande Piece A3 A1p,Radiateur refroidissement,A3-L05-H3-S15,99.86,5.94,16.57,122.37,50.3,63.1,9.8,5.52,C
C1287065901180,FLT-000158,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-30-a-07,10.60,0.50,3.31,14.41,31.1,17.1,7.5,0.49,C
C1284994022840,SEN-000159,SEN - Petite Piece A2,Capteur ABS,A2-C11-T05-H,19.89,1.20,4.96,26.05,11.2,6.5,5.2,0.23,B
C1281459903368,BRK-000160,BRK - Moyenne Standard A1,Jeu plaquettes AV,A1a-05-c-09,31.65,1.33,7.13,40.11,21.6,17.3,7.6,1.54,B
C1286514662606,FLT-000161,FLT - Moyenne Standard A1,Filtre à air moteur,A1c-23-a-08,17.59,1.08,4.81,23.48,32.6,20.2,7.0,0.38,C
C1286642074360,STR-000162,STR - Grande Piece A3 A1p,Jambe de force suspension,A3-L16-H3-S08,103.73,3.64,18.67,126.04,63.4,22.7,19.4,6.32,C
C1283511361788,ROT-000163,ROT - Moyenne Standard A1,Disque de frein ventilé,A1c-30-b-09,53.20,2.70,26.66,82.56,31.0,35.5,6.6,11.22,A
C1284102110366,FLT-000164,FLT - Moyenne Standard A1,Filtre à air moteur,A1b-09-c-08,15.91,0.62,3.61,20.14,34.3,15.3,7.9,0.57,C
