numero_commande,date_commande,client,sku_produit,produit_designation,quantite,prix_unitaire_cad
CMD-000041,2026-02-17,Garage Royal,BLB-013258,Ampoule LED H7,3,14.6
CMD-000041,2026-02-17,Pneus & Mécanique Pro,SPK-006012,Bougie allumage iridium,5,16.66
CMD-000042,2026-02-22,Atelier Mécanique 360,RAD-035768,Radiateur refroidissement,7,177.87
CMD-000042,2026-02-22,Mécanique Rapide Inc.,BMP-047146,Pare-chocs AV primaire,4,252.58
CMD-000042,2026-02-22,Auto-Réparation ABC,SPK-013663,Bougie allumage iridium,1,30.57
CMD-000042,2026-02-22,Mécanique Rapide Inc.,RAD-036481,Radiateur refroidissement,8,126.31
CMD-000042,2026-02-22,Mécanique Rapide Inc.,FLT-041451,Filtre à air moteur,5,23.85
CMD-000043,2025-10-02,Garage Tremblay,BRK-001937,Jeu plaquettes AV,1,88.96
CMD-000043,2025-10-02,Auto Clinic,SPK-043767,Bougie allumage iridium,1,15.6
CMD-000044,2025-10-19,Garage du Centre,BMP-045900,Pare-chocs AV primaire,7,451.34
CMD-000044,2025-10-19,Garage du Centre,FLT-041722,Filtre à air moteur,4,34.68
CMD-000045,2025-09-21,Mécanique Rapide Inc.,FLT-015733,Filtre à air moteur,7,33.71
CMD-000045,2025-09-21,Auto-Réparation ABC,RAD-035768,Radiateur refroidissement,8,177.87
CMD-000045,2025-09-21,Garage Tremblay,SPK-035054,Bougie allumage iridium,3,23.72
CMD-000045,2025-09-21,Mécanique Rapide Inc.,SPK-044783,Bougie allumage iridium,1,24.23
CMD-000045,2025-09-21,Auto-Réparation ABC,ALT-028736,Alternateur 12V 140A,6,282.14
CMD-000046,2026-01-03,Carrosserie Moderne,RAD-035768,Radiateur refroidissement,2,177.87
CMD-000047,2026-05-12,Pneus & Mécanique Pro,ALT-008827,Alternateur 12V 140A,1,356.71
CMD-000047,2026-05-12,Garage Royal,FUS-003395,Boîte fusibles relais,5,17.5
CMD-000047,2026-05-12,Atelier Mécanique 360,ROT-027668,Disque de frein ventilé,5,139.0
CMD-000047,2026-05-12,Centre Auto Plus,SEN-041211,Capteur ABS,4,49.43
CMD-000047,2026-05-12,Garage Royal,BRK-042035,Jeu plaquettes AV,8,57.16
CMD-000048,2026-07-17,Pneus & Mécanique Pro,ALT-011901,Alternateur 12V 140A,6,437.77
CMD-000048,2026-07-17,Pneus & Mécanique Pro,EXH-030318,Silencieux échappement,5,260.2
CMD-000048,2026-07-17,Atelier Mécanique 360,FLT-042719,Filtre à air moteur,8,21.49
CMD-000048,2026-07-17,Pneus & Mécanique Pro,FLT-045880,Filtre à air moteur,3,31.58
CMD-000049,2025-10-17,Pneus & Mécanique Pro,FLT-039148,Filtre à air moteur,6,37.13
CMD-000049,2025-10-17,Garage Royal,FLT-029827,Filtre à air moteur,7,24.3
CMD-000049,2025-10-17,Mécanique Rapide Inc.,FUS-030639,Boîte fusibles relais,3,16.59
CMD-000049,2025-10-17,Centre Auto Plus,ROT-034722,Disque de frein ventilé,6,168.29
CMD-000049,2025-10-17,Centre Auto Plus,RAD-049573,Radiateur refroidissement,1,215.12
CMD-000050,2026-01-08,Mécanique Rapide Inc.,RAD-035768,Radiateur refroidissement,4,177.87
CMD-000050,2026-01-08,Atelier Mécanique 360,BMP-047146,Pare-chocs AV primaire,1,252.58
CMD-000050,2026-01-08,Pneus & Mécanique Pro,FLT-041451,Filtre à air moteur,8,23.85
CMD-000051,2026-06-13,Auto Clinic,FUS-029617,Boîte fusibles relais,2,8.67
CMD-000052,2026-08-22,Auto Clinic,FLT-017708,Filtre à air moteur,6,29.61
CMD-000052,2026-08-22,Atelier Mécanique 360,SPK-020617,Bougie allumage iridium,4,12.63
CMD-000052,2026-08-22,Garage Royal,FLT-029142,Filtre à air moteur,1,37.15
CMD-000052,2026-08-22,Centre Auto Plus,ALT-007144,Alternateur 12V 140A,3,368.89
CMD-000053,2026-01-01,Mécanique Rapide Inc.,RAD-035768,Radiateur refroidissement,6,177.87
CMD-000053,2026-01-01,Centre Auto Plus,FLT-041451,Filtre à air moteur,8,23.85
CMD-000053,2026-01-01,Pneus & Mécanique Pro,BMP-047146,Pare-chocs AV primaire,2,252.58
CMD-000054,2025-12-21,Auto Clinic,FUS-005948,Boîte fusibles relais,8,21.5
CMD-000054,2025-12-21,Garage Tremblay,RAD-035768,Radiateur refroidissement,4,177.87
CMD-000054,2025-12-21,Garage Royal,FLT-024829,Filtre à air moteur,2,34.83
CMD-000054,2025-12-21,Carrosserie Moderne,FUS-012274,Boîte fusibles relais,6,9.66
CMD-000054,2025-12-21,Mécanique Rapide Inc.,SPK-043767,Bougie allumage iridium,1,15.6
CMD-000055,2025-10-22,Garage Tremblay,RAD-035768,Radiateur refroidissement,2,177.87
CMD-000056,2026-04-21,Carrosserie Moderne,ALT-020646,Alternateur 12V 140A,7,230.64
CMD-000056,2026-04-21,Garage Royal,SPK-043767,Bougie allumage iridium,7,15.6
CMD-000056,2026-04-21,Carrosserie Moderne,RAD-035768,Radiateur refroidissement,3,177.87
CMD-000057,2026-03-08,Mécanique Rapide Inc.,ROT-044526,Disque de frein ventilé,5,189.75
CMD-000058,2026-01-25,Auto-Réparation ABC,BRK-024935,Jeu plaquettes AV,4,109.95
CMD-000058,2026-01-25,Garage Royal,ALT-000696,Alternateur 12V 140A,6,233.04
CMD-000059,2025-12-27,Auto-Réparation ABC,BLB-016265,Ampoule LED H7,4,26.03
CMD-000059,2025-12-27,Garage Tremblay,FLT-043239,Filtre à air moteur,8,27.52
CMD-000060,2026-01-31,Garage Royal,ALT-003675,Alternateur 12V 140A,6,360.96
CMD-000060,2026-01-31,Garage du Centre,STR-005600,Jambe de force suspension,7,247.31
CMD-000060,2026-01-31,Atelier Mécanique 360,RAD-035768,Radiateur refroidissement,4,177.87
CMD-000060,2026-01-31,Garage du Centre,FLT-010264,Filtre à air moteur,2,20.42
CMD-000061,2026-06-29,Garage Tremblay,BRK-042035,Jeu plaquettes AV,1,57.16
CMD-000061,2026-06-29,Centre Auto Plus,FUS-046243,Boîte fusibles relais,6,21.56
CMD-000061,2026-06-29,Atelier Mécanique 360,ALT-043817,Alternateur 12V 140A,2,318.1
CMD-000061,2026-06-29,Centre Auto Plus,BLB-010587,Ampoule LED H7,8,33.07
CMD-000061,2026-06-29,Centre Auto Plus,BRK-020585,Jeu plaquettes AV,4,91.07
CMD-000062,2026-01-26,Atelier Mécanique 360,BMP-030532,Pare-chocs AV primaire,8,453.26
CMD-000062,2026-01-26,Atelier Mécanique 360,BRK-042109,Jeu plaquettes AV,2,85.09
CMD-000062,2026-01-26,Mécanique Rapide Inc.,BRK-024935,Jeu plaquettes AV,8,109.95
CMD-000062,2026-01-26,Centre Auto Plus,FLT-015733,Filtre à air moteur,8,33.71
CMD-000062,2026-01-26,Garage Tremblay,ROT-002467,Disque de frein ventilé,6,177.84
CMD-000063,2026-08-30,Pneus & Mécanique Pro,RAD-005329,Radiateur refroidissement,7,281.44
CMD-000063,2026-08-30,Garage du Centre,BRK-042035,Jeu plaquettes AV,6,57.16
CMD-000063,2026-08-30,Auto-Réparation ABC,FUS-012274,Boîte fusibles relais,8,9.66
CMD-000063,2026-08-30,Pneus & Mécanique Pro,FLT-015733,Filtre à air moteur,2,33.71
CMD-000063,2026-08-30,Auto Clinic,FLT-020472,Filtre à air moteur,8,26.55
CMD-000064,2025-10-31,Garage Tremblay,RAD-035768,Radiateur refroidissement,8,177.87
CMD-000065,2026-07-04,Auto Clinic,RAD-005329,Radiateur refroidissement,4,281.44
CMD-000065,2026-07-04,Garage Tremblay,FLT-003665,Filtre à air moteur,8,31.0
CMD-000065,2026-07-04,Garage Royal,FUS-029617,Boîte fusibles relais,7,8.67
CMD-000065,2026-07-04,Mécanique Rapide Inc.,RAD-035768,Radiateur refroidissement,1,177.87
CMD-000065,2026-07-04,Auto-Réparation ABC,EXH-045581,Silencieux échappement,4,193.71
CMD-000066,2026-05-22,Mécanique Rapide Inc.,FUS-029617,Boîte fusibles relais,2,8.67
CMD-000067,2026-08-29,Garage Royal,FUS-029617,Boîte fusibles relais,4,8.67
CMD-000067,2026-08-29,Mécanique Rapide Inc.,SEN-034457,Capteur ABS,8,50.82
CMD-000067,2026-08-29,Pneus & Mécanique Pro,RAD-035768,Radiateur refroidissement,6,177.87
CMD-000067,2026-08-29,Atelier Mécanique 360,ALT-049661,Alternateur 12V 140A,4,344.8
CMD-000067,2026-08-29,Garage du Centre,BLB-036030,Ampoule LED H7,5,36.15
CMD-000068,2026-05-04,Pneus & Mécanique Pro,FLT-039148,Filtre à air moteur,6,37.13
CMD-000068,2026-05-04,Auto-Réparation ABC,FLT-029827,Filtre à air moteur,1,24.3
CMD-000068,2026-05-04,Pneus & Mécanique Pro,RAD-049573,Radiateur refroidissement,4,215.12
CMD-000068,2026-05-04,Pneus & Mécanique Pro,ROT-005056,Disque de frein ventilé,2,151.84
CMD-000068,2026-05-04,Pneus & Mécanique Pro,FUS-030639,Boîte fusibles relais,7,16.59
CMD-000069,2025-10-20,Centre Auto Plus,BLB-048487,Ampoule LED H7,8,25.62
CMD-000069,2025-10-20,Centre Auto Plus,RAD-021829,Radiateur refroidissement,2,164.44
CMD-000069,2025-10-20,Pneus & Mécanique Pro,FUS-037574,Boîte fusibles relais,4,22.82
CMD-000069,2025-10-20,Pneus & Mécanique Pro,ROT-009688,Disque de frein ventilé,7,91.35
CMD-000070,2025-09-18,Atelier Mécanique 360,FUS-037574,Boîte fusibles relais,5,22.82
CMD-000070,2025-09-18,Auto-Réparation ABC,ROT-037634,Disque de frein ventilé,8,97.63
CMD-000070,2025-09-18,Centre Auto Plus,BRK-005234,Jeu plaquettes AV,1,96.79
CMD-000070,2025-09-18,Garage Tremblay,FLT-019930,Filtre à air moteur,1,22.5
CMD-000071,2025-10-24,Garage du Centre,ALT-020646,Alternateur 12V 140A,3,230.64
CMD-000071,2025-10-24,Garage Tremblay,FUS-042252,Boîte fusibles relais,3,17.99
CMD-000072,2025-11-14,Garage Royal,EXH-020058,Silencieux échappement,4,345.0
CMD-000073,2025-09-23,Auto Clinic,BLB-000882,Ampoule LED H7,4,21.29
CMD-000074,2025-09-16,Garage Tremblay,SEN-020563,Capteur ABS,8,44.11
CMD-000074,2025-09-16,Atelier Mécanique 360,ROT-037634,Disque de frein ventilé,3,97.63
CMD-000074,2025-09-16,Pneus & Mécanique Pro,FUS-037574,Boîte fusibles relais,4,22.82
CMD-000074,2025-09-16,Mécanique Rapide Inc.,BRK-005234,Jeu plaquettes AV,3,96.79
CMD-000074,2025-09-16,Garage Tremblay,FLT-019930,Filtre à air moteur,1,22.5
CMD-000075,2026-02-17,Auto Clinic,BLB-033665,Ampoule LED H7,8,35.21
CMD-000075,2026-02-17,Carrosserie Moderne,FUS-029617,Boîte fusibles relais,3,8.67
CMD-000075,2026-02-17,Garage du Centre,RAD-035768,Radiateur refroidissement,2,177.87
CMD-000075,2026-02-17,Carrosserie Moderne,BLB-037992,Ampoule LED H7,7,27.13
CMD-000076,2026-08-10,Auto-Réparation ABC,RAD-035768,Radiateur refroidissement,2,177.87
CMD-000077,2026-07-18,Garage Royal,ALT-003675,Alternateur 12V 140A,4,360.96
CMD-000077,2026-07-18,Mécanique Rapide Inc.,RAD-021829,Radiateur refroidissement,7,164.44
CMD-000077,2026-07-18,Centre Auto Plus,RAD-035768,Radiateur refroidissement,5,177.87
CMD-000078,2026-03-25,Auto-Réparation ABC,RAD-035768,Radiateur refroidissement,2,177.87
CMD-000078,2026-03-25,Pneus & Mécanique Pro,SEN-002623,Capteur ABS,2,71.04
CMD-000078,2026-03-25,Auto Clinic,SPK-013663,Bougie allumage iridium,7,30.57
CMD-000078,2026-03-25,Pneus & Mécanique Pro,FLT-041451,Filtre à air moteur,1,23.85
CMD-000078,2026-03-25,Atelier Mécanique 360,RAD-036481,Radiateur refroidissement,5,126.31
CMD-000079,2025-11-14,Carrosserie Moderne,FLT-004312,Filtre à air moteur,8,25.94
CMD-000080,2026-05-01,Garage Tremblay,BRK-031679,Jeu plaquettes AV,6,83.55
CMD-000080,2026-05-01,Carrosserie Moderne,ALT-011901,Alternateur 12V 140A,1,437.77
CMD-000080,2026-05-01,Mécanique Rapide Inc.,RAD-035768,Radiateur refroidissement,1,177.87
CMD-000080,2026-05-01,Auto Clinic,RAD-042234,Radiateur refroidissement,5,182.21
CMD-000081,2025-12-27,Pneus & Mécanique Pro,ALT-011901,Alternateur 12V 140A,2,437.77
CMD-000081,2025-12-27,Pneus & Mécanique Pro,SEN-032264,Capteur ABS,4,53.17
CMD-000081,2025-12-27,Garage Royal,STR-030670,Jambe de force suspension,7,220.62
CMD-000081,2025-12-27,Pneus & Mécanique Pro,STR-019015,Jambe de force suspension,7,168.66
CMD-000082,2025-09-23,Pneus & Mécanique Pro,BRK-048251,Jeu plaquettes AV,1,89.61
CMD-000082,2025-09-23,Auto-Réparation ABC,BRK-014119,Jeu plaquettes AV,7,108.02
CMD-000082,2025-09-23,Auto-Réparation ABC,BRK-034353,Jeu plaquettes AV,6,48.07
CMD-000082,2025-09-23,Mécanique Rapide Inc.,BRK-019682,Jeu plaquettes AV,4,107.85
CMD-000083,2026-05-25,Carrosserie Moderne,FUS-005948,Boîte fusibles relais,7,21.5
CMD-000083,2026-05-25,Atelier Mécanique 360,FLT-048980,Filtre à air moteur,4,13.59
CMD-000083,2026-05-25,Garage Royal,EXH-045581,Silencieux échappement,6,193.71
CMD-000084,2026-01-04,Mécanique Rapide Inc.,SPK-039676,Bougie allumage iridium,4,16.14
CMD-000084,2026-01-04,Auto Clinic,FLT-044436,Filtre à air moteur,5,35.76
CMD-000084,2026-01-04,Carrosserie Moderne,ROT-038719,Disque de frein ventilé,6,163.44
CMD-000084,2026-01-04,Atelier Mécanique 360,ALT-038966,Alternateur 12V 140A,2,442.71
CMD-000085,2026-07-26,Garage Royal,RAD-035768,Radiateur refroidissement,3,177.87
CMD-000085,2026-07-26,Auto-Réparation ABC,BMP-045900,Pare-chocs AV primaire,1,451.34
CMD-000085,2026-07-26,Centre Auto Plus,BLB-000882,Ampoule LED H7,7,21.29
CMD-000086,2026-04-19,Garage du Centre,FUS-029617,Boîte fusibles relais,3,8.67
CMD-000086,2026-04-19,Garage Royal,ROT-004395,Disque de frein ventilé,5,109.37
CMD-000086,2026-04-19,Carrosserie Moderne,FLT-017690,Filtre à air moteur,5,23.9
CMD-000086,2026-04-19,Auto-Réparation ABC,FLT-028528,Filtre à air moteur,3,38.12
CMD-000086,2026-04-19,Auto Clinic,FUS-006924,Boîte fusibles relais,6,20.75
CMD-000087,2025-09-16,Centre Auto Plus,BMP-045900,Pare-chocs AV primaire,6,451.34
CMD-000087,2025-09-16,Auto-Réparation ABC,ALT-008808,Alternateur 12V 140A,2,376.22
CMD-000087,2025-09-16,Auto Clinic,FLT-001233,Filtre à air moteur,4,27.72
CMD-000087,2025-09-16,Garage du Centre,ALT-035060,Alternateur 12V 140A,8,290.25
CMD-000088,2026-01-12,Mécanique Rapide Inc.,SPK-043767,Bougie allumage iridium,1,15.6
CMD-000088,2026-01-12,Garage Royal,SPK-006012,Bougie allumage iridium,5,16.66
CMD-000088,2026-01-12,Garage Tremblay,BRK-002313,Jeu plaquettes AV,8,83.45
CMD-000088,2026-01-12,Atelier Mécanique 360,BMP-006597,Pare-chocs AV primaire,7,501.57
CMD-000088,2026-01-12,Atelier Mécanique 360,FUS-020125,Boîte fusibles relais,4,9.95
CMD-000089,2026-02-25,Auto Clinic,SPK-043295,Bougie allumage iridium,6,13.79
CMD-000090,2026-02-01,Pneus & Mécanique Pro,BRK-042035,Jeu plaquettes AV,3,57.16
CMD-000090,2026-02-01,Garage du Centre,BLB-010587,Ampoule LED H7,3,33.07
CMD-000091,2025-12-09,Auto Clinic,RAD-005329,Radiateur refroidissement,2,281.44
CMD-000092,2025-09-18,Auto Clinic,BRK-036530,Jeu plaquettes AV,5,105.08
CMD-000092,2025-09-18,Garage Royal,BLB-041271,Ampoule LED H7,8,35.44
CMD-000092,2025-09-18,Mécanique Rapide Inc.,ROT-043955,Disque de frein ventilé,6,181.38
CMD-000092,2025-09-18,Garage du Centre,ALT-010069,Alternateur 12V 140A,4,284.46
CMD-000092,2025-09-18,Garage Royal,EXH-006384,Silencieux échappement,6,357.03
CMD-000093,2025-10-30,Garage Tremblay,ALT-002471,Alternateur 12V 140A,3,269.92
CMD-000093,2025-10-30,Carrosserie Moderne,FLT-016502,Filtre à air moteur,6,34.63
CMD-000093,2025-10-30,Mécanique Rapide Inc.,ROT-042210,Disque de frein ventilé,4,167.11
CMD-000093,2025-10-30,Auto-Réparation ABC,BRK-018011,Jeu plaquettes AV,7,68.19
CMD-000094,2026-06-14,Auto Clinic,BRK-002783,Jeu plaquettes AV,2,71.91
