sku,oem_cross_ref,categorie,designation,marque,location_id,stock_systeme,stock_physique_compte,stock_reserve,seuil_reappro,stock_securite,cout_unitaire_cad,prix_vente_cad,delai_fournisseur_j,classe_abc
RAD-00021,OEM-1146572,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,B-39-05-L1-D,31,31,4,39,19,122.11,168.29,19,C
CAL-00022,OEM-2977695,Freinage,Étrier reconditionné (Bosch),Bosch,C-17-08-L2-B,13,13,4,28,6,82.63,116.31,7,A
CAB-00023,OEM-7146220,Filtration,Filtre carburant diesel (Mahle),Mahle,C-07-10-L1-E,1,1,0,4,2,25.26,42.49,28,C
SEN-00024,OEM-8626649,Électrique,Sonde Lambda amont (NGK),NGK,C-17-08-L2-A,13,13,11,7,1,306.28,460.94,35,A
SUS-00025,OEM-9244765,Suspension,Amortisseur bitube (Bilstein),Bilstein,A-16-05-L2-C,34,34,4,40,15,123.57,170.89,9,C
BRK-00026,OEM-1949618,Freinage,Plaquettes AV (Brembo),Brembo,B-36-04-L1-B,71,71,1,63,29,123.81,211.25,3,A
ARM-00027,OEM-1534199,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,A-14-14-L2-E,5,5,2,7,2,95.54,140.67,33,C
ARM-00028,OEM-2945505,Suspension,Amortisseur bitube (Monroe),Monroe,C-16-10-L2-C,153,153,13,113,49,130.73,190.26,10,C
WAT-00029,OEM-7715096,Moteur & Refroidissement,Kit distribution + pompe (SKF),SKF,B-29-08-L3-D,48,48,5,32,7,33.16,55.61,10,C
CAB-00030,OEM-9219348,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,C-17-04-L2-D,118,118,1,51,20,22.35,38.01,5,C
ROT-00031,OEM-7477965,Freinage,Étrier reconditionné (Ferodo),Ferodo,C-14-10-L4-B,68,68,3,20,10,47.57,69.01,17,A
AIR-00032,OEM-1015081,Filtration,Filtre à air (Purflux),Purflux,A-06-03-L4-D,57,57,11,27,12,28.97,43.28,18,C
STR-00033,OEM-2157020,Électrique,Sonde Lambda amont (Delphi),Delphi,B-12-02-L4-E,1,1,1,4,2,215.79,343.16,32,C
ARM-00034,OEM-9805912,Suspension,Ressort hélicoïdal (Monroe),Monroe,B-38-05-L1-B,14,14,4,7,3,60.81,87.79,19,C
ARM-00035,OEM-1462870,Suspension,Bras oscillant inférieur (Monroe),Monroe,B-06-10-L2-D,10,9,2,33,8,34.19,47.85,7,A
BRK-00036,OEM-9328742,Freinage,Plaquettes AV (Brembo),Brembo,A-17-10-L2-C,6,6,1,10,3,65.52,89.36,19,C
STR-00037,OEM-2945406,Suspension,Rotule de direction (Sachs),Sachs,D-08-05-L1-C,8,8,0,3,1,156.62,248.17,29,C
SUS-00038,OEM-8393115,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,A-19-01-L4-A,64,64,7,38,20,183.51,262.89,19,A
AIR-00039,OEM-1327067,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,B-07-03-L3-D,78,78,15,29,18,6.62,10.42,18,C
AIR-00040,OEM-1075395,Filtration,Filtre à huile (Purflux),Purflux,A-02-03-L1-A,8,8,0,5,2,21.21,36.34,21,A
RAD-00041,OEM-5257936,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,B-04-07-L4-E,59,59,9,28,6,51.88,87.47,17,C
FLT-00042,OEM-4928468,Filtration,Filtre habitacle charbon (Mahle),Mahle,C-16-01-L2-B,76,76,8,26,6,23.79,39.19,18,A
ROT-00043,OEM-4220418,Freinage,Plaquettes AV (TRW),TRW,C-07-04-L3-C,15,15,6,4,1,58.38,99.52,22,C
ROT-00044,OEM-4137697,Freinage,Plaquettes AV (Textar),Textar,A-16-04-L4-B,142,142,6,93,46,93.69,154.07,3,C
STR-00045,OEM-2076783,Électrique,Bobine d'allumage (Valeo),Valeo,C-12-03-L2-E,15,15,13,23,6,79.64,109.94,14,C
FLT-00046,OEM-4832560,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,A-09-07-L4-D,20,20,7,47,17,24.85,36.25,20,A
SUS-00047,OEM-4295134,Suspension,Bras oscillant inférieur (Sachs),Sachs,A-13-04-L4-B,8,10,5,6,2,133.61,197.26,14,B
SEN-00048,OEM-6036878,Électrique,Sonde Lambda amont (Bosch),Bosch,A-20-13-L1-C,13,13,0,9,4,251.07,384.22,23,C
CAB-00049,OEM-2818835,Filtration,Filtre à huile (Purflux),Purflux,B-22-09-L2-B,327,328,10,112,43,21.09,30.45,5,C
RAD-00050,OEM-5920053,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,B-10-07-L1-E,2,2,2,8,1,95.84,166.21,18,C
AIR-00051,OEM-9842033,Filtration,Filtre carburant diesel (Mahle),Mahle,B-20-05-L1-D,12,12,4,7,1,7.04,10.54,24,C
RAD-00052,OEM-5056411,Moteur & Refroidissement,Kit distribution + pompe (Valeo),Valeo,B-39-10-L2-C,343,343,12,67,34,57.97,79.46,7,C
BRK-00053,OEM-2262840,Freinage,Plaquettes AR (Bosch),Bosch,A-09-08-L1-D,3,3,3,8,4,82.57,141.03,36,C
BEL-00054,OEM-8950158,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,A-10-04-L2-D,82,82,3,89,39,18.17,30.6,4,C
SEN-00055,OEM-9824364,Électrique,Sonde Lambda amont (Bosch),Bosch,B-07-02-L3-E,2,2,0,6,2,183.77,291.22,19,A
CAL-00056,OEM-6383634,Freinage,Étrier reconditionné (Ferodo),Ferodo,A-10-10-L3-A,6,6,4,4,1,122.74,166.99,40,C
ALT-00057,OEM-2112886,Électrique,Capteur vilebrequin (Bosch),Bosch,A-17-15-L2-B,447,447,12,65,31,30.32,42.45,10,C
AIR-00058,OEM-3095465,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,A-13-08-L2-D,369,369,7,109,60,8.99,12.54,7,C
BEL-00059,OEM-4233578,Moteur & Refroidissement,Thermostat piloté (Nissens),Nissens,B-17-10-L2-D,435,435,12,122,60,16.11,24.8,9,C
WAT-00060,OEM-3731157,Moteur & Refroidissement,Radiateur alu (SKF),SKF,A-14-08-L2-B,82,82,11,97,30,41.91,58.65,9,C
ROT-00061,OEM-1959947,Freinage,Plaquettes AR (Ferodo),Ferodo,B-29-06-L4-B,65,62,9,47,17,93.08,158.12,14,A
SEN-00062,OEM-8237141,Électrique,Bobine d'allumage (Denso),Denso,C-17-02-L2-C,13,13,4,8,3,263.32,432.41,41,A
ALT-00063,OEM-7378015,Électrique,Sonde Lambda amont (Valeo),Valeo,A-15-10-L3-D,6,6,1,12,4,116.43,175.26,35,B
STR-00064,OEM-3730976,Électrique,Bobine d'allumage (Denso),Denso,C-04-07-L3-D,313,313,14,98,32,281.61,441.57,3,C
FLT-00065,OEM-4344153,Filtration,Filtre carburant diesel (Purflux),Purflux,C-10-01-L2-A,268,268,6,94,52,20.34,32.16,3,A
CAB-00066,OEM-8077461,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,C-18-08-L4-D,14,14,11,4,2,31.13,42.72,18,C
CAB-00067,OEM-1637886,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,B-34-09-L2-D,21,21,2,31,17,18.45,30.13,21,C
STR-00068,OEM-8232993,Suspension,Ressort hélicoïdal (Moog),Moog,D-02-01-L4-A,12,12,6,10,2,117.59,181.24,32,C
ROT-00069,OEM-7829886,Freinage,Plaquettes AV (Textar),Textar,B-03-04-L1-D,7,7,3,7,2,123.13,201.71,30,C
CAL-00070,OEM-2088765,Freinage,Étrier reconditionné (TRW),TRW,B-13-03-L4-A,433,433,12,109,56,156.63,233.07,6,C
STR-00071,OEM-3852255,Suspension,Ressort hélicoïdal (Moog),Moog,B-18-02-L2-A,48,48,4,20,7,168.79,262.76,11,B
STR-00072,OEM-5756870,Suspension,Amortisseur bitube (Monroe),Monroe,B-18-09-L3-D,22,22,7,22,11,90.71,132.64,18,A
FLT-00073,OEM-8513949,Filtration,Filtre carburant diesel (Bosch),Bosch,A-13-02-L3-D,59,59,12,29,16,34.59,47.65,20,C
FLT-00074,OEM-8092371,Filtration,Filtre habitacle charbon (Mahle),Mahle,A-20-09-L1-C,3,3,2,8,1,27.06,41.88,26,C
CAL-00075,OEM-1084392,Freinage,Plaquettes AV (Brembo),Brembo,B-02-10-L3-C,34,34,4,32,19,94.16,136.66,21,C
CAB-00076,OEM-8572503,Filtration,Filtre à air (Bosch),Bosch,D-05-06-L1-A,11,11,8,9,1,12.11,16.98,41,A
AIR-00077,OEM-3125711,Filtration,Filtre à huile (Purflux),Purflux,C-09-10-L2-B,109,109,7,99,51,18.15,26.46,8,C
BEL-00078,OEM-3523418,Moteur & Refroidissement,Radiateur alu (Continental),Continental,B-02-06-L2-C,50,50,1,22,6,202.35,285.2,16,C
ROT-00079,OEM-9389242,Freinage,Étrier reconditionné (Brembo),Brembo,B-05-02-L2-C,322,322,10,124,48,104.25,169.26,10,C
STR-00080,OEM-4261476,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,B-10-06-L3-D,51,51,0,25,5,176.41,284.76,11,A
AIR-00081,OEM-2627398,Filtration,Filtre habitacle charbon (Mahle),Mahle,B-17-02-L4-B,14,14,6,27,15,19.09,32.87,19,C
SEN-00082,OEM-7033852,Électrique,Démarreur 1.8kW (Delphi),Delphi,D-08-06-L3-C,44,44,8,28,18,22.06,38.24,21,B
RAD-00083,OEM-1009714,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,B-36-07-L2-D,11,11,2,19,9,234.38,383.93,9,A
WAT-00084,OEM-2208451,Moteur & Refroidissement,Courroie accessoire (Continental),Continental,D-07-02-L3-D,13,13,3,42,17,87.74,129.59,21,A
CAB-00085,OEM-4250564,Filtration,Filtre habitacle charbon (Mann-Filter),Mann-Filter,C-20-01-L1-C,66,66,2,28,8,22.66,36.31,14,C
CAL-00086,OEM-8105834,Freinage,Flexible de frein (Bosch),Bosch,B-34-07-L2-B,1,1,0,6,4,58.03,87.27,44,C
STR-00087,OEM-7540415,Suspension,Bras oscillant inférieur (Moog),Moog,D-03-05-L4-A,1,1,1,5,1,162.19,241.11,42,C
ALT-00088,OEM-5273559,Électrique,Sonde Lambda amont (Denso),Denso,D-01-03-L1-B,10,10,9,9,1,296.39,483.23,15,C
WAT-00089,OEM-3973803,Moteur & Refroidissement,Radiateur alu (Nissens),Nissens,A-15-13-L2-B,29,29,2,31,13,118.92,182.97,21,A
FLT-00090,OEM-8827007,Filtration,Filtre à air (Bosch),Bosch,A-08-05-L2-A,15,15,0,7,3,32.97,53.14,41,C
WAT-00091,OEM-1193956,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,A-15-01-L3-D,43,43,4,35,11,102.57,177.81,17,C
CAB-00092,OEM-2974403,Filtration,Filtre à huile (Mann-Filter),Mann-Filter,B-17-10-L3-C,51,51,7,36,6,7.22,10.18,7,C
WAT-00093,OEM-5979710,Moteur & Refroidissement,Thermostat piloté (Gates),Gates,B-28-07-L1-A,13,13,12,23,13,107.68,148.92,10,C
ARM-00094,OEM-4123186,Suspension,Amortisseur bitube (Bilstein),Bilstein,C-14-09-L2-D,13,13,4,5,1,30.46,52.96,35,C
SUS-00095,OEM-4479457,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,C-14-09-L3-B,13,13,3,7,1,180.12,252.86,15,A
STR-00096,OEM-3809874,Suspension,Ressort hélicoïdal (Moog),Moog,C-16-04-L4-B,54,54,13,23,8,88.57,124.61,19,A
CAB-00097,OEM-6541478,Filtration,Filtre à huile (Mahle),Mahle,C-11-08-L3-A,5,5,4,11,3,6.66,9.08,22,C
AIR-00098,OEM-7017903,Filtration,Filtre carburant diesel (Bosch),Bosch,B-33-09-L3-C,13,13,8,4,1,4.58,6.86,16,A
BRK-00099,OEM-5645660,Freinage,Plaquettes AV (Brembo),Brembo,A-05-10-L1-D,185,185,1,59,21,112.42,181.76,6,C
RAD-00100,OEM-4374726,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,A-03-02-L4-C,180,180,5,70,37,225.69,346.12,9,C
BRK-00101,OEM-8483023,Freinage,Plaquettes AR (Textar),Textar,A-09-14-L4-B,7,7,5,8,3,115.85,195.81,23,A
SEN-00102,OEM-5267466,Électrique,Sonde Lambda amont (Valeo),Valeo,A-02-06-L3-B,8,8,8,5,1,237.21,398.36,38,C
ARM-00103,OEM-9195168,Suspension,Rotule de direction (Monroe),Monroe,A-20-05-L1-C,164,164,6,127,50,199.05,316.55,5,C
STR-00104,OEM-8563191,Suspension,Amortisseur bitube (Monroe),Monroe,B-20-03-L2-A,4,4,3,12,4,22.53,36.76,38,C
SEN-00105,OEM-8526645,Électrique,Alternateur 140A (Bosch),Bosch,B-14-05-L4-C,27,27,12,16,5,275.17,471.25,15,C
SUS-00106,OEM-9548653,Suspension,Ressort hélicoïdal (Sachs),Sachs,C-12-08-L2-A,12,12,12,6,3,166.21,266.56,25,C
ALT-00107,OEM-5914622,Électrique,Bobine d'allumage (Valeo),Valeo,B-13-07-L2-B,3,3,0,11,3,31.53,43.04,45,C
ARM-00108,OEM-3874549,Suspension,Rotule de direction (Monroe),Monroe,B-33-08-L3-C,11,11,9,10,2,33.8,47.83,45,B
CAB-00109,OEM-9620146,Filtration,Filtre à huile (Mahle),Mahle,A-17-12-L1-E,15,15,9,5,3,4.48,6.66,32,A
CAL-00110,OEM-7728395,Freinage,Plaquettes AV (Textar),Textar,D-06-02-L1-E,1,1,1,5,1,28.74,48.21,31,C
CAB-00111,OEM-9929690,Filtration,Filtre carburant diesel (Purflux),Purflux,B-15-06-L2-E,4,4,0,9,3,34.02,48.88,23,C
SUS-00112,OEM-9047507,Suspension,Bras oscillant inférieur (KYB),KYB,A-09-12-L3-E,8,8,3,8,4,203.14,291.52,36,C
ALT-00113,OEM-8136349,Électrique,Alternateur 140A (Bosch),Bosch,C-07-03-L3-D,11,11,4,8,2,76.24,108.54,45,C
ARM-00114,OEM-9864987,Suspension,Bras oscillant inférieur (Monroe),Monroe,C-16-07-L1-B,50,50,8,46,16,171.89,281.65,15,C
WAT-00115,OEM-4495127,Moteur & Refroidissement,Thermostat piloté (Valeo),Valeo,A-12-10-L4-A,345,345,12,85,29,27.58,46.95,3,A
RAD-00116,OEM-2853740,Moteur & Refroidissement,Courroie accessoire (Valeo),Valeo,B-38-07-L1-B,299,299,15,81,32,74.23,127.96,8,A
SUS-00117,OEM-2967378,Suspension,Bras oscillant inférieur (KYB),KYB,A-07-10-L3-B,15,15,10,10,2,189.76,312.51,39,C
BRK-00118,OEM-5860693,Freinage,Disque ventilé (Bosch),Bosch,B-17-05-L3-E,7,7,6,8,4,115.45,167.52,23,A
SEN-00119,OEM-2547561,Électrique,Alternateur 140A (Delphi),Delphi,A-01-12-L2-D,11,11,8,10,2,257.46,400.17,24,C
STR-00120,OEM-9609931,Électrique,Bobine d'allumage (Denso),Denso,A-04-12-L1-A,5,5,4,9,3,318.41,501.52,35,C
SUS-00121,OEM-7471209,Suspension,Bras oscillant inférieur (KYB),KYB,D-01-06-L4-B,135,135,12,107,37,69.93,95.71,7,C
RAD-00122,OEM-8550250,Moteur & Refroidissement,Kit distribution + pompe (Continental),Continental,C-18-02-L3-E,14,14,14,12,4,124.13,208.68,32,C
SEN-00123,OEM-7120995,Électrique,Bobine d'allumage (Delphi),Delphi,A-09-05-L1-C,58,58,15,32,6,284.36,427.02,8,C
ARM-00124,OEM-9359464,Suspension,Ressort hélicoïdal (Sachs),Sachs,B-08-04-L4-A,400,400,1,89,41,183.93,299.57,3,C
ARM-00125,OEM-2821450,Suspension,Ressort hélicoïdal (KYB),KYB,B-05-01-L3-B,4,4,2,5,3,150.64,215.19,45,A
BEL-00126,OEM-8436520,Moteur & Refroidissement,Thermostat piloté (SKF),SKF,B-16-01-L1-B,314,314,6,56,24,116.21,195.66,8,C
ARM-00127,OEM-9788601,Suspension,Amortisseur bitube (Bilstein),Bilstein,B-36-10-L4-C,21,21,7,26,14,138.05,195.46,16,C
ALT-00128,OEM-6057468,Électrique,Sonde Lambda amont (Denso),Denso,B-28-06-L2-B,266,266,6,76,39,94.76,161.83,5,C
AIR-00129,OEM-8267498,Filtration,Filtre à air (Bosch),Bosch,B-08-09-L4-D,6,6,6,8,1,35.28,51.45,18,C
BRK-00130,OEM-6472609,Freinage,Étrier reconditionné (Brembo),Brembo,B-20-04-L1-A,4,4,1,4,2,148.92,202.26,34,C
STR-00131,OEM-7202894,Suspension,Rotule de direction (Bilstein),Bilstein,D-02-09-L1-D,58,58,14,35,5,30.07,43.36,19,C
ALT-00132,OEM-8001211,Électrique,Alternateur 140A (Delphi),Delphi,B-18-04-L4-E,2,2,0,3,1,18.38,28.59,14,C
ROT-00133,OEM-1443937,Freinage,Plaquettes AR (Brembo),Brembo,B-36-09-L1-D,1,1,1,11,3,35.26,61.22,18,C
RAD-00134,OEM-2441862,Moteur & Refroidissement,Courroie accessoire (SKF),SKF,B-37-03-L2-C,12,12,10,3,1,134.49,206.33,33,A
ARM-00135,OEM-2801333,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,C-06-09-L1-C,7,7,6,7,1,103.48,174.74,19,A
STR-00136,OEM-4540347,Suspension,Amortisseur bitube (KYB),KYB,A-14-01-L4-D,4,4,1,5,3,153.99,226.43,28,A
ARM-00137,OEM-2428832,Suspension,Ressort hélicoïdal (Sachs),Sachs,A-12-02-L3-B,30,30,6,33,11,96.87,166.89,11,C
STR-00138,OEM-3578761,Suspension,Ressort hélicoïdal (Bilstein),Bilstein,A-06-08-L1-C,7,7,7,6,4,81.43,135.25,29,C
CAB-00139,OEM-8446600,Filtration,Filtre à huile (Bosch),Bosch,A-19-06-L3-D,83,83,2,78,24,25.4,36.72,9,C
CAL-00140,OEM-3510342,Freinage,Plaquettes AR (Textar),Textar,A-09-06-L1-C,1,1,1,6,4,110.99,185.26,23,C
ALT-00141,OEM-6860607,Électrique,Bobine d'allumage (Denso),Denso,C-20-06-L2-A,13,13,4,6,3,194.82,272.67,28,B
WAT-00142,OEM-4687148,Moteur & Refroidissement,Kit distribution + pompe (Nissens),Nissens,C-09-01-L4-A,15,15,0,8,2,77.55,113.16,25,C
ALT-00143,OEM-4034632,Électrique,Bobine d'allumage (Denso),Denso,B-20-09-L1-D,12,12,0,7,3,115.12,190.68,26,C
SUS-00144,OEM-5685983,Suspension,Bras oscillant inférieur (Sachs),Sachs,C-11-06-L1-B,281,281,4,128,51,165.22,279.99,7,C
ALT-00145,OEM-2112387,Électrique,Capteur vilebrequin (Delphi),Delphi,A-02-02-L4-D,30,30,9,27,10,160.66,222.58,15,C
BRK-00146,OEM-1833076,Freinage,Disque ventilé (Textar),Textar,C-05-06-L1-D,59,59,1,31,6,149.16,243.76,16,A
STR-00147,OEM-2139954,Suspension,Bras oscillant inférieur (Moog),Moog,C-11-05-L4-D,175,175,9,84,27,76.12,114.4,5,A
ALT-00148,OEM-7077318,Électrique,Capteur vilebrequin (NGK),NGK,A-12-15-L3-C,62,62,13,34,11,96.15,164.7,13,C
ALT-00149,OEM-5201760,Électrique,Sonde Lambda amont (Denso),Denso,A-17-02-L1-D,6,6,5,9,3,131.61,217.56,39,C
CAL-00150,OEM-1901975,Freinage,Plaquettes AR (Brembo),Brembo,B-03-07-L1-A,5,5,4,9,4,139.73,235.34,22,C
ROT-00151,OEM-3845062,Freinage,Plaquettes AR (Ferodo),Ferodo,A-04-05-L1-B,39,39,4,37,8,121.87,185.3,18,B
RAD-00152,OEM-4217439,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,B-39-03-L1-A,15,15,8,8,4,233.66,320.41,42,C
ALT-00153,OEM-1230748,Électrique,Bobine d'allumage (Valeo),Valeo,B-30-09-L3-A,4,4,1,4,1,163.04,273.7,33,C
RAD-00154,OEM-5374794,Moteur & Refroidissement,Kit distribution + pompe (Gates),Gates,A-13-10-L3-B,5,5,4,5,1,149.11,238.48,22,C
ARM-00155,OEM-8627822,Suspension,Rotule de direction (Bilstein),Bilstein,C-13-09-L3-D,6,6,4,9,3,209.36,291.71,19,C
ROT-00156,OEM-7612346,Freinage,Disque ventilé (Textar),Textar,B-01-09-L2-D,2,2,1,7,1,62.21,99.26,20,C
STR-00157,OEM-7697521,Suspension,Bras oscillant inférieur (Monroe),Monroe,A-04-05-L3-A,9,9,3,11,3,182.13,286.46,29,C
BRK-00158,OEM-2605551,Freinage,Disque ventilé (Ferodo),Ferodo,C-09-09-L3-D,6,6,5,7,4,40.24,60.88,15,C
AIR-00159,OEM-6928101,Filtration,Filtre carburant diesel (Mann-Filter),Mann-Filter,B-31-06-L1-D,10,10,3,4,2,8.88,15.5,39,C
SUS-00160,OEM-5864251,Suspension,Rotule de direction (Moog),Moog,C-13-09-L4-A,192,197,5,93,57,151.55,216.02,7,C
ALT-00161,OEM-6723935,Électrique,Alternateur 140A (Valeo),Valeo,A-12-02-L2-D,362,362,15,81,24,34.31,53.98,8,C
SEN-00162,OEM-2126250,Électrique,Bobine d'allumage (Denso),Denso,D-08-01-L1-C,1,1,0,10,3,136.27,202.19,33,C
RAD-00163,OEM-9922377,Moteur & Refroidissement,Radiateur alu (SKF),SKF,A-18-08-L3-C,15,15,12,5,3,217.62,294.79,33,B
CAB-00164,OEM-7122612,Filtration,Filtre habitacle charbon (Wix),Wix,A-08-15-L2-D,12,12,8,8,3,32.09,54.48,35,C
RAD-00165,OEM-6867168,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,C-16-07-L4-C,53,53,3,33,6,157.58,231.05,14,A
BEL-00166,OEM-4602511,Moteur & Refroidissement,Thermostat piloté (Continental),Continental,A-06-04-L3-C,8,8,4,6,3,55.24,77.77,35,C
STR-00167,OEM-9621961,Suspension,Amortisseur bitube (Sachs),Sachs,B-17-08-L1-B,12,12,11,26,11,52.52,77.66,20,C
AIR-00168,OEM-7163851,Filtration,Filtre à huile (Purflux),Purflux,C-01-04-L1-A,62,62,8,31,7,24.12,36.73,14,A
SUS-00169,OEM-5100668,Suspension,Bras oscillant inférieur (Bilstein),Bilstein,B-36-02-L4-E,354,354,5,93,25,143.65,205.58,7,B
BRK-00170,OEM-2524713,Freinage,Plaquettes AV (Ferodo),Ferodo,C-04-09-L2-D,12,12,3,12,4,82.9,112.06,16,A
CAL-00171,OEM-2426758,Freinage,Disque ventilé (Ferodo),Ferodo,B-17-08-L1-E,70,70,15,45,18,76.11,110.02,15,B
BRK-00172,OEM-3323448,Freinage,Plaquettes AV (Bosch),Bosch,A-17-05-L3-C,14,14,3,10,4,16.17,25.25,40,A
SUS-00173,OEM-9215878,Suspension,Ressort hélicoïdal (KYB),KYB,C-04-08-L1-C,11,11,0,7,4,170.25,233.13,33,A
CAB-00174,OEM-2220942,Filtration,Filtre carburant diesel (Purflux),Purflux,D-02-02-L3-C,27,27,10,28,18,28.25,47.64,18,C
SUS-00175,OEM-9260361,Suspension,Rotule de direction (Sachs),Sachs,B-27-07-L2-B,1,1,0,4,2,121.75,194.37,43,C
WAT-00176,OEM-8309595,Moteur & Refroidissement,Courroie accessoire (Nissens),Nissens,B-22-09-L3-B,8,8,8,12,4,130.34,194.79,38,C
WAT-00177,OEM-3757732,Moteur & Refroidissement,Radiateur alu (Valeo),Valeo,B-14-09-L1-E,322,322,1,93,30,213.7,300.91,10,C
CAL-00178,OEM-7125689,Freinage,Disque ventilé (Bosch),Bosch,B-19-08-L1-B,7,7,1,11,3,159.77,217.54,20,C
FLT-00179,OEM-2304377,Filtration,Filtre habitacle charbon (Bosch),Bosch,B-24-02-L1-C,4,4,2,7,1,8.3,11.36,14,C
RAD-00180,OEM-2591762,Moteur & Refroidissement,Courroie accessoire (Gates),Gates,B-18-04-L2-A,67,67,1,35,20,221.18,384.86,17,C
AIR-00181,OEM-8107748,Filtration,Filtre à air (Purflux),Purflux,B-23-08-L4-D,60,60,6,35,12,10.28,17.07,13,C
ROT-00182,OEM-8393767,Freinage,Plaquettes AV (TRW),TRW,B-04-01-L1-E,1,1,0,7,4,31.21,45.61,26,C
ROT-00183,OEM-3508114,Freinage,Plaquettes AR (Ferodo),Ferodo,D-01-09-L4-E,14,14,3,6,1,53.73,93.1,35,C
SEN-00184,OEM-6003620,Électrique,Bobine d'allumage (NGK),NGK,A-17-11-L1-E,26,26,0,21,10,61.65,87.13,18,C
CAL-00185,OEM-9413176,Freinage,Disque ventilé (Textar),Textar,D-09-05-L1-B,10,10,9,7,2,27.11,46.15,19,C
ROT-00186,OEM-6933369,Freinage,Flexible de frein (Ferodo),Ferodo,A-11-12-L1-E,8,8,1,4,1,145.55,220.06,40,C
