sku,code_barre_128,designation,emplacement_id,poids_kg,longueur_cm,largeur_cm,hauteur_cm,cout_de_revient_total,stock_systeme,classe_abc
FUS-039684,C1281746528253,Boîte fusibles relais,A1C03B04,0.19,10.9,5.7,3.3,10.28,43,A
BLB-007509,C1283754919559,Ampoule LED H7,A1C03B03,0.08,9.2,4.3,5.2,23.47,92,B
FUS-009657,C1281800312887,Boîte fusibles relais,A1B05A01,0.19,10.6,6.7,3.0,16.31,93,C
FUS-000867,C1287451088240,Boîte fusibles relais,A1A04A02,0.06,11.5,4.8,3.9,8.82,70,B
SEN-013569,C1286314774738,Capteur ABS,A1C03B02,0.27,8.7,6.4,4.0,29.49,12,A
BLB-048086,C1281893211400,Ampoule LED H7,A1C03B01,0.06,7.8,5.5,5.2,28.18,37,B
BLB-047201,C1284951189769,Ampoule LED H7,A1A04A01,0.07,7.7,5.0,5.9,19.91,53,B
BLB-034578,C1287435369051,Ampoule LED H7,A1C01CD,0.11,8.8,4.9,5.3,28.91,33,C
FUS-004135,C1287768362666,Boîte fusibles relais,A1C01CG,0.15,8.5,7.6,3.6,10.02,101,B
SEN-015192,C1282394211987,Capteur ABS,A1C02CD,0.36,10.9,6.7,3.3,26.68,51,A
BLB-043006,C1281647476872,Ampoule LED H7,A1C02CG,0.11,9.5,4.4,5.8,20.42,76,A
SEN-034457,C1285777669586,Capteur ABS,A1C01DD,0.3,14.3,4.2,4.1,35.05,111,B
BLB-028682,C1288954155738,Ampoule LED H7,A1C01DG,0.08,9.3,5.0,5.5,24.85,95,A
SEN-006021,C1287739163793,Capteur ABS,A1A05A02,0.38,9.0,7.4,4.0,21.71,84,A
BLB-030464,C1288024841718,Ampoule LED H7,A1C02B10,0.1,8.7,5.9,5.2,21.91,119,B
SEN-046955,C1285117194869,Capteur ABS,A1A05A01,0.2,9.4,7.4,4.0,24.64,10,A
SEN-020721,C1288465214436,Capteur ABS,A1C02B09,0.4,12.5,4.2,5.3,40.72,105,B
SEN-019139,C1288127595631,Capteur ABS,A1C02B08,0.12,12.9,5.2,4.3,26.43,59,C
BLB-037992,C1284904215120,Ampoule LED H7,A1A04B10,0.09,9.7,5.8,5.2,18.71,45,A
SEN-049426,C1284234363008,Capteur ABS,A1A04B09,0.28,12.5,7.0,3.4,40.37,24,B
SEN-026353,C1283582049848,Capteur ABS,A1C02B07,0.36,14.1,6.6,3.2,29.33,112,C
FUS-040638,C1285539341738,Boîte fusibles relais,A1C02B06,0.06,9.2,6.8,4.8,6.17,1,C
SEN-014947,C1281475664092,Capteur ABS,A1C02B05,0.33,8.9,5.9,5.9,35.26,15,B
SEN-002566,C1288255374470,Capteur ABS,A1C02B04,0.29,12.9,6.6,3.7,26.15,65,C
SEN-026048,C1283467345641,Capteur ABS,A1C02B03,0.4,8.6,7.2,5.3,42.19,99,B
SEN-006132,C1282429079435,Capteur ABS,A1A04B08,0.24,14.4,5.8,4.0,28.04,40,B
SEN-035482,C1289331921355,Capteur ABS,A1C02B02,0.16,10.8,5.6,5.6,30.46,21,C
SEN-002690,C1282389390624,Capteur ABS,A1A04B07,0.36,14.8,5.3,4.4,33.81,9,A
SEN-031098,C1284933091632,Capteur ABS,A1A04B06,0.34,14.9,7.5,3.2,46.48,42,A
FUS-036362,C1285829635309,Boîte fusibles relais,A1C02B01,0.11,12.0,7.8,3.9,14.03,9,B
SEN-003185,C1286042680685,Capteur ABS,A1A04B05,0.26,12.1,7.8,4.4,40.98,6,A
SEN-045054,C1281175051239,Capteur ABS,A1A04B04,0.38,12.1,6.8,5.1,38.63,73,A
SEN-043446,C1281736570864,Capteur ABS,A1A04B03,0.37,12.8,7.7,4.7,49.09,110,A
SEN-002386,C1285678921637,Capteur ABS,A1A04B02,0.29,11.9,6.8,5.8,25.78,120,A
SEN-004309,C1281949266269,Capteur ABS,A1A04B01,0.18,14.7,6.8,4.9,28.41,76,A
SEN-033632,C1281775442816,Capteur ABS,A1A03CD,0.34,14.4,6.6,5.8,47.52,46,A
BRK-038699,C1287812338273,Jeu plaquettes AV,A1A03CG,2.38,16.6,11.7,5.7,63.72,79,A
BRK-020584,C1286511977082,Jeu plaquettes AV,A1B05B10,2.83,18.2,13.3,5.2,39.35,6,A
BRK-009718,C1288711907321,Jeu plaquettes AV,A1B01DD,3.08,22.2,11.2,5.2,33.89,80,B
BRK-038495,C1283803841118,Jeu plaquettes AV,A1B05B09,1.76,18.9,10.3,6.7,49.97,11,B
BRK-048251,C1285925794613,Jeu plaquettes AV,A1B05B08,1.89,15.2,14.8,6.3,61.80,35,A
BRK-044381,C1288747150720,Jeu plaquettes AV,A1B05B07,1.96,17.4,12.9,6.7,33.56,12,A
BRK-042035,C1285873056996,Jeu plaquettes AV,A1B05B06,3.78,24.3,12.5,5.0,39.42,38,A
BRK-024935,C1284384531483,Jeu plaquettes AV,A1B01DG,2.17,16.7,14.1,6.5,75.83,106,C
BRK-000665,C1283088731889,Jeu plaquettes AV,A1B02CD,2.64,15.5,10.7,9.5,39.84,79,B
BRK-033340,C1281366865772,Jeu plaquettes AV,A1B02CG,2.25,20.7,15.7,5.1,43.36,118,C
BRK-013237,C1285588583762,Jeu plaquettes AV,A1B05B05,3.76,24.1,13.6,5.1,36.66,66,A
BRK-039296,C1281624380302,Jeu plaquettes AV,A1B05B04,3.11,17.7,17.2,5.5,48.28,39,B
BRK-008094,C1286526790846,Jeu plaquettes AV,A1C03A02,1.71,18.2,11.3,8.4,65.68,67,B
BRK-005978,C1286924492875,Jeu plaquettes AV,A1B05B03,2.05,15.4,14.9,7.7,44.90,63,A
BRK-043609,C1284212030423,Jeu plaquettes AV,A1B05B02,2.03,15.4,12.5,9.2,32.52,105,A
BRK-048883,C1285713305121,Jeu plaquettes AV,A1C03A01,2.06,21.4,15.6,5.4,62.05,43,C
BRK-037405,C1287380720635,Jeu plaquettes AV,A1B03B10,1.7,22.3,15.5,5.3,31.64,94,B
BRK-002545,C1285037906101,Jeu plaquettes AV,A1B03B09,3.42,19.3,10.7,9.0,33.70,77,B
BRK-035690,C1283688072522,Jeu plaquettes AV,A1B03B08,2.63,18.0,17.3,6.0,59.05,40,B
BRK-003411,C1284940934777,Jeu plaquettes AV,A1B05B01,2.36,21.4,12.9,7.0,54.31,6,A
BRK-003031,C1289421940899,Jeu plaquettes AV,A1B03B07,2.47,17.7,14.8,7.4,70.51,119,C
BRK-014503,C1287212831158,Jeu plaquettes AV,A1A02DD,3.65,17.0,15.1,7.6,60.71,19,A
FLT-033743,C1281544596899,Filtre à air moteur,A1A02DG,0.44,22.1,18.8,4.7,27.01,14,A
BRK-048679,C1287602483725,Jeu plaquettes AV,A1B03B06,2.7,22.5,17.2,5.1,46.35,27,B
BRK-040876,C1285037184488,Jeu plaquettes AV,A1B03B05,3.07,24.4,11.9,6.9,53.10,119,B
BRK-025898,C1289825072263,Jeu plaquettes AV,A1B03B04,2.18,15.6,17.5,7.6,51.81,105,C
FLT-034378,C1286454381306,Filtre à air moteur,A1B03B03,0.25,24.0,17.7,4.9,14.11,66,B
BRK-044618,C1281607993763,Jeu plaquettes AV,A1B03B02,1.56,22.0,10.5,9.1,33.39,61,B
BRK-036192,C1283770107326,Jeu plaquettes AV,A1B03B01,2.19,23.1,16.3,5.6,46.59,87,B
BRK-036956,C1284086312401,Jeu plaquettes AV,A1A01CD,2.19,23.2,15.0,6.3,58.79,9,C
BRK-047004,C1286394928055,Jeu plaquettes AV,A1C05A02,3.26,16.6,15.4,8.6,63.38,16,A
FLT-026629,C1288860647625,Filtre à air moteur,A1C05A01,0.48,24.5,19.6,4.6,14.72,75,A
BRK-024683,C1281737222290,Jeu plaquettes AV,A1A01CG,3.79,22.7,14.2,7.0,74.06,25,C
FLT-012359,C1288005418091,Filtre à air moteur,A1B04CD,0.5,23.8,23.2,4.1,24.93,80,A
BRK-006205,C1282011360022,Jeu plaquettes AV,A1B04CG,3.62,23.3,17.5,6.0,36.81,106,A
FLT-042228,C1288969937040,Filtre à air moteur,A1A02B10,0.37,27.9,14.6,6.1,26.86,24,C
FLT-029423,C1285435970690,Filtre à air moteur,A1A02B09,0.52,22.1,21.0,5.4,28.20,63,B
FLT-043239,C1287226887579,Filtre à air moteur,A1B03DD,0.24,26.7,18.4,5.2,18.98,24,B
FLT-019590,C1289627837503,Filtre à air moteur,A1A02B08,0.54,34.0,18.0,4.2,13.29,12,B
FLT-009287,C1288755244796,Filtre à air moteur,A1B03DG,0.4,21.0,23.6,5.2,24.86,77,A
BRK-017720,C1285385112912,Jeu plaquettes AV,A1C04B10,2.52,16.7,17.1,9.3,59.15,113,A
BRK-009571,C1285596425010,Jeu plaquettes AV,A1A02B07,1.64,23.1,16.7,7.2,38.09,29,C
FLT-028528,C1287324692573,Filtre à air moteur,A1A02B06,0.24,25.8,19.1,5.7,26.29,1,C
FLT-017708,C1288040709862,Filtre à air moteur,A1C04B09,0.55,23.7,19.7,6.1,20.42,18,A
BRK-005234,C1286340341630,Jeu plaquettes AV,A1A02B05,3.62,23.3,17.4,7.2,66.75,49,B
FLT-004312,C1288467667126,Filtre à air moteur,A1A02B04,0.46,28.1,18.6,5.7,17.89,11,C
FLT-042719,C1289362966983,Filtre à air moteur,A1A02B03,0.5,24.2,15.7,7.9,14.82,49,C
FLT-044878,C1287622226570,Filtre à air moteur,A1C04B08,0.26,22.2,17.8,7.7,25.12,69,A
FLT-011683,C1289255820586,Filtre à air moteur,A1C04B07,0.59,29.3,15.6,7.0,26.01,99,A
BRK-032885,C1284122934096,Jeu plaquettes AV,A1C04B06,1.86,23.2,16.1,8.9,37.29,77,A
BRK-003736,C1286830730599,Jeu plaquettes AV,A1A02B02,2.07,24.5,16.2,8.4,57.47,92,C
ROT-017022,C1284129169879,Disque de frein ventilé,A1C04B05,10.66,28.6,28.8,4.2,100.60,79,A
FLT-001618,C1281565849705,Filtre à air moteur,A1C04B04,0.32,37.3,22.3,4.2,20.40,82,A
FLT-031402,C1283505725993,Filtre à air moteur,A1C04B03,0.54,31.6,21.7,5.1,18.39,64,A
FLT-010048,C1281114232102,Filtre à air moteur,A1C04B02,0.54,33.9,14.9,7.1,22.41,72,A
ROT-015638,C1286734878062,Disque de frein ventilé,A1A02B01,12.61,29.0,26.5,4.7,82.38,61,C
FLT-032848,C1283822965518,Filtre à air moteur,A1B04A02,0.26,35.2,17.2,6.3,11.51,42,B
FLT-022405,C1281678914931,Filtre à air moteur,A1B04A01,0.47,21.8,24.6,7.2,16.78,49,B
FLT-017690,C1289347070478,Filtre à air moteur,A1C04B01,0.23,31.1,16.0,7.8,16.48,116,A
ROT-047623,C1286735185892,Disque de frein ventilé,A1C03CD,10.87,31.1,29.8,4.2,132.11,11,A
BRK-001937,C1288396892394,Jeu plaquettes AV,A1C03CG,2.6,24.9,15.8,9.9,61.35,73,A
ROT-002797,C1288216921733,Disque de frein ventilé,A1A03A02,13.17,28.2,30.1,4.6,97.67,104,B
FLT-040053,C1282592689255,Filtre à air moteur,A1A03A01,0.23,20.3,24.7,7.8,11.73,82,B
FLT-026606,C1287631644894,Filtre à air moteur,A1C01B10,0.23,33.8,16.0,7.3,10.26,100,B
FLT-032536,C1281074428576,Filtre à air moteur,A1C02DD,0.34,36.2,17.1,6.4,18.42,16,B
ROT-036267,C1283145100936,Disque de frein ventilé,A1C01B09,7.71,30.0,31.6,4.2,74.27,35,B
ROT-001967,C1281666968828,Disque de frein ventilé,A1C01B08,6.7,28.4,28.4,5.0,56.72,47,B
FLT-005484,C1288740923101,Filtre à air moteur,A1C01B07,0.5,30.2,18.8,7.2,24.07,87,B
FLT-015733,C1289474971254,Filtre à air moteur,A1C02DG,0.49,31.3,18.7,7.1,23.25,74,A
ROT-034002,C1281398346750,Disque de frein ventilé,A1C01B06,10.38,35.0,26.3,4.6,122.75,86,B
FLT-028324,C1281234842162,Filtre à air moteur,A1A05B10,0.25,36.9,18.1,6.5,12.93,82,A
ROT-044210,C1289893877228,Disque de frein ventilé,A1C01B05,9.53,27.8,29.5,5.3,120.82,71,B
ROT-006864,C1284921544530,Disque de frein ventilé,A1A05B09,11.31,28.4,26.1,6.0,72.52,116,A
FLT-010535,C1287624367632,Filtre à air moteur,A1A05B08,0.24,34.9,21.9,6.0,10.79,105,A
ROT-014558,C1282476370820,Disque de frein ventilé,A1C01B04,7.98,30.1,28.6,5.8,131.86,18,C
ROT-034722,C1282776188760,Disque de frein ventilé,A1A05B07,7.77,32.0,29.0,5.5,116.06,20,A
FLT-040963,C1285649130955,Filtre à air moteur,A1A05B06,0.29,30.2,23.0,7.4,16.00,7,A
FLT-026010,C1289066810608,Filtre à air moteur,A1A05B05,0.48,36.3,19.9,7.2,22.54,107,A
ROT-037068,C1288716176089,Disque de frein ventilé,A1C01B03,6.81,26.5,30.2,6.6,69.58,21,C
ROT-014715,C1288529436002,Disque de frein ventilé,A1C01B02,8.44,31.2,31.2,5.7,91.78,63,C
ROT-043334,C1289277049374,Disque de frein ventilé,A1A05B04,6.93,28.1,29.7,6.7,91.97,0,B
ROT-025009,C1289528078342,Disque de frein ventilé,A1C01B01,9.48,31.8,28.7,6.2,108.94,53,B
ROT-018669,C1281358974890,Disque de frein ventilé,A1A05B03,11.16,33.2,32.2,5.3,86.16,0,A
ROT-015403,C1281539321152,Disque de frein ventilé,A1A05B02,12.21,29.5,32.3,6.1,74.40,33,A
ROT-018008,C1286815313585,Disque de frein ventilé,A1B01CD,10.62,33.3,33.1,5.3,70.13,18,B
ROT-048335,C1284358200618,Disque de frein ventilé,A1B01CG,8.0,34.6,26.9,6.3,116.06,101,C
ROT-031547,C1284480400832,Disque de frein ventilé,A1A05B01,13.7,29.1,34.7,5.9,130.70,16,A
ROT-027668,C1284121967556,Disque de frein ventilé,A1A04CD,8.12,34.5,26.4,6.6,95.86,7,A
ROT-037875,C1288515087242,Disque de frein ventilé,A1C02A02,12.62,33.8,32.1,5.6,122.19,96,C
ROT-014289,C1288937054432,Disque de frein ventilé,A1C02A01,12.73,32.0,31.8,6.0,84.36,56,B
ROT-021710,C1288056214078,Disque de frein ventilé,A1A04CG,11.71,30.8,30.0,6.9,88.75,37,A
ROT-001359,C1286959154670,Disque de frein ventilé,A1B02B10,9.69,30.7,35.9,5.8,124.54,33,B
ROT-007220,C1286196166052,Disque de frein ventilé,A1A03DD,6.39,32.5,32.4,6.1,80.18,11,A
ROT-039102,C1283434154824,Disque de frein ventilé,A1B02B09,8.82,35.3,34.7,5.6,57.51,56,C
ROT-038207,C1286516591330,Disque de frein ventilé,A1B02B08,13.11,34.3,33.6,6.4,63.98,120,B
ALT-011901,C1285678984973,Alternateur 12V 140A,A1B02B07,8.49,23.7,18.5,18.8,301.91,81,C
ALT-001778,C1285524290020,Alternateur 12V 140A,A1A03DG,6.31,23.1,18.0,20.5,167.58,81,A
ALT-049926,C1289940411689,Alternateur 12V 140A,A1B02B06,7.87,20.8,19.5,21.1,211.44,103,B
ALT-007205,C1282775717368,Alternateur 12V 140A,A1B05CD,5.56,20.1,18.6,24.2,172.98,77,A
ALT-010794,C1281121605539,Alternateur 12V 140A,A1B02B05,7.37,22.2,20.2,20.3,253.26,117,C
ALT-015059,C1288717435212,Alternateur 12V 140A,A1B05CG,7.5,22.5,18.9,22.0,273.45,37,A
ALT-013343,C1286394995492,Alternateur 12V 140A,A1B02B04,9.0,21.0,22.1,20.2,166.54,88,B
ALT-010069,C1283776000404,Alternateur 12V 140A,A1B02B03,8.02,21.6,19.1,23.3,196.18,15,B
ALT-011421,C1286035682675,Alternateur 12V 140A,A1B04DD,6.38,25.2,19.4,20.2,272.36,97,A
ALT-007996,C1289996454871,Alternateur 12V 140A,A1B04DG,5.59,21.6,24.9,18.7,152.39,14,A
ALT-049278,C1288764659944,Alternateur 12V 140A,A1B02B02,7.85,27.0,20.2,18.6,291.76,116,B
ALT-013448,C1287110982168,Alternateur 12V 140A,A1B02B01,8.0,21.8,21.7,21.5,267.73,66,B
ALT-025474,C1289035152104,Alternateur 12V 140A,A1C05B10,6.1,21.7,22.5,20.9,255.00,43,A
ALT-002471,C1283884304774,Alternateur 12V 140A,A1C05B09,6.08,22.1,20.6,22.8,186.15,42,A
ALT-021132,C1287829616086,Alternateur 12V 140A,A1C05B08,6.49,23.3,19.0,23.7,259.64,93,A
ALT-014998,C1287750602822,Alternateur 12V 140A,A1A01B10,7.73,22.1,21.6,22.2,184.97,18,C
ALT-006276,C1285128470916,Alternateur 12V 140A,A1C05B07,6.31,25.2,20.4,20.7,151.88,36,A
ALT-038546,C1281410750954,Alternateur 12V 140A,A1A01B09,8.38,23.1,21.8,21.4,241.73,68,C
ALT-035530,C1287864995132,Alternateur 12V 140A,A1A01B08,5.67,22.1,21.8,23.2,164.65,68,B
ALT-037590,C1289970770689,Alternateur 12V 140A,A1A01B07,8.26,23.0,21.3,23.0,318.30,14,B
ALT-008600,C1283946939453,Alternateur 12V 140A,A1C05B06,6.03,21.6,23.1,22.6,283.55,51,A
ALT-033658,C1281726530755,Alternateur 12V 140A,A1C05B05,7.32,29.0,19.2,20.4,175.47,19,A
ALT-001078,C1289964363457,Alternateur 12V 140A,A1C05B04,7.79,20.8,22.8,24.2,162.26,91,B
ALT-007061,C1287914060717,Alternateur 12V 140A,A1C05B03,7.78,26.0,21.1,21.5,199.60,66,A
ALT-047362,C1284866858714,Alternateur 12V 140A,A1A01B06,8.97,21.7,23.4,23.5,226.65,116,B
ALT-000386,C1281772918179,Alternateur 12V 140A,A1A01B05,7.42,28.2,21.2,20.1,157.17,112,B
ALT-040335,C1285994117528,Alternateur 12V 140A,A1C05B02,6.7,21.6,23.5,23.8,253.85,113,A
ALT-023526,C1281027291604,Alternateur 12V 140A,A1A01B04,6.82,25.3,20.2,24.2,207.33,80,B
ALT-027632,C1289630238384,Alternateur 12V 140A,A1A01B03,6.41,21.7,23.7,24.3,216.49,12,B
ALT-036410,C1289005160054,Alternateur 12V 140A,A1A01B02,7.75,26.6,24.7,19.5,168.30,8,B
ALT-003156,C1289554580925,Alternateur 12V 140A,A1A01B01,5.61,21.5,24.2,25.0,311.87,41,C
ALT-035681,C1285015769614,Alternateur 12V 140A,A1B03A02,5.82,27.1,21.0,24.0,272.09,104,B
ALT-036394,C1286564262293,Alternateur 12V 140A,A1B03A01,7.53,24.9,24.0,23.2,298.75,112,B
ALT-043817,C1289305840043,Alternateur 12V 140A,A1C05B01,7.77,25.7,22.8,24.3,219.38,28,A
ALT-026012,C1281229067202,Alternateur 12V 140A,A1A02A02,6.97,28.5,21.3,23.6,256.50,32,C
ALT-046126,C1287122929484,Alternateur 12V 140A,A1A02A01,8.57,26.8,23.9,23.0,290.41,118,B
ALT-041787,C1286036658179,Alternateur 12V 140A,A1C01A02,5.6,27.4,23.7,23.9,147.05,4,B
STR-031193,C1285323065705,Jambe de force suspension,A1C01A01,5.12,70.1,19.5,16.2,148.12,60,B
RAD-011310,C1282463683563,Radiateur refroidissement,A1B01B10,5.38,58.8,46.1,8.7,165.93,53,B
RAD-035768,C1287229483035,Radiateur refroidissement,A1C04CD,4.95,59.3,46.0,8.9,122.67,40,A
RAD-011217,C1287563309727,Radiateur refroidissement,A1C04CG,6.88,78.9,42.6,7.5,150.26,94,A
STR-023248,C1283630463525,Jambe de force suspension,A1C03DD,5.51,66.3,24.5,17.0,168.32,97,A
STR-047020,C1281154916052,Jambe de force suspension,A1C03DG,8.62,74.5,21.5,17.3,98.77,55,A
STR-026554,C1288509821959,Jambe de force suspension,A1B01B09,9.1,57.6,23.6,21.5,85.56,91,C
STR-037922,C1283044695423,Jambe de force suspension,A1B01B08,6.91,78.1,19.9,18.9,125.37,46,B
RAD-006901,C1282575874655,Radiateur refroidissement,A1B01B07,3.74,57.2,47.1,12.0,148.87,93,B
STR-026017,C1287496892625,Jambe de force suspension,A1B01B06,7.22,76.8,24.4,18.7,90.54,4,B
RAD-038113,C1286694342342,Radiateur refroidissement,A1A05CD,7.35,82.7,53.0,8.8,145.45,3,A
RAD-025491,C1284909486158,Radiateur refroidissement,A1B01B05,7.73,78.1,48.1,10.6,152.13,31,C
RAD-013421,C1286130944993,Radiateur refroidissement,A1B01B04,7.41,70.5,54.5,10.4,105.93,14,B
RAD-025660,C1284477507081,Radiateur refroidissement,A1B01B03,3.8,63.0,61.7,10.7,113.99,20,C
RAD-008323,C1288116078985,Radiateur refroidissement,A1A05CG,6.92,64.8,56.6,11.8,155.37,57,A
RAD-049573,C1286662762337,Radiateur refroidissement,A1A04DD,5.83,65.3,59.8,11.2,148.36,17,A
RAD-042341,C1287030061776,Radiateur refroidissement,A1A04DG,3.85,78.6,58.0,10.9,156.87,66,A
RAD-048210,C1283060402379,Radiateur refroidissement,A1B01B02,5.84,79.5,60.2,10.7,204.13,54,C
EXH-007271,C1281675484369,Silencieux échappement,A1B05DD,16.19,82.4,26.5,28.4,269.35,46,A
EXH-034377,C1283861166953,Silencieux échappement,A1B05DG,13.4,89.6,38.5,25.5,185.46,86,A
EXH-033547,C1287110966165,Silencieux échappement,A1C05CD,12.96,119.1,30.9,27.4,222.59,107,A
EXH-047688,C1285611256082,Silencieux échappement,A1B01B01,14.83,114.3,42.6,21.4,176.22,109,C
EXH-049698,C1287927151711,Silencieux échappement,A1C05CG,16.98,130.1,33.1,25.6,237.99,62,A
EXH-002023,C1289422057728,Silencieux échappement,A1B02A02,16.62,127.4,34.3,28.0,150.80,106,C
EXH-033760,C1286301042574,Silencieux échappement,A1B02A01,14.11,128.2,39.4,27.2,138.75,108,C
EXH-006384,C1289485571421,Silencieux échappement,A1A01A02,9.55,135.1,40.0,29.1,246.23,52,B
BMP-019552,C1284556954345,Pare-chocs AV primaire,A1C04DD,10.8,169.6,46.5,40.5,254.31,25,A
BMP-037287,C1286090930533,Pare-chocs AV primaire,A1C04DG,10.6,173.6,55.6,40.6,223.14,26,A
BMP-028097,C1288440991137,Pare-chocs AV primaire,A1A05DD,11.6,173.2,59.5,39.5,361.01,11,A
BMP-037254,C1285448512478,Pare-chocs AV primaire,A1A01A01,10.52,187.2,53.7,43.4,195.26,47,B
BMP-006087,C1288690826409,Pare-chocs AV primaire,A1B01A02,12.3,164.5,59.0,49.5,358.46,120,B
BMP-048102,C1288884459317,Pare-chocs AV primaire,A1A05DG,7.33,188.9,49.7,53.2,146.64,43,A
BMP-018500,C1285728974592,Pare-chocs AV primaire,A1C05DD,7.4,165.8,60.8,49.8,311.70,19,A
BMP-006001,C1284715296277,Pare-chocs AV primaire,A1B01A01,8.35,189.8,55.3,50.1,182.44,55,B
BMP-031963,C1289103570886,Pare-chocs AV primaire,A1C05DG,11.76,183.4,58.8,53.8,189.15,95,A
